问题,答案
问题:组合机床的特点是什么？,答案:组合机床可以根据具体加工对象，用预先设计制造好的通用部件和通用零件，加上少量的专用部件或零件组成。它具有重新改装的优越性，通用零、部件可以多次重复利用，可以按最合理的工艺过程进行加工，可以同时从几个方向采用多把刀具对几个工件进行加工。
问题:组合机床与万能机床和专用机床相比有什么优势？,答案:组合机床由70~90%的通用零、部件组成，可以部分或全部地进行改装，以组成适应新的加工要求的新设备。组合机床可以按最合理的工艺过程进行加工，可以同时从几个方向采用多把刀具对几个工件进行加工，是提高生产效率的有效设备。组合机床可以保证各孔相互之间的精度要求，提高产品质量，减少工件工位间的搬运，改善劳动条件，减少机床占地面积。
问题:组合机床的维护和修理为什么比其他机床更简单？,答案:组合机床的大多数零、部件是同类的通用部件，可以简化维护和修理。必要时可以更换整个部件，提高维修速度。
问题:组合机床的通用部件可以在哪里集中生产？这对通用部件的性能和制造成本有何影响？,答案:组合机床的通用部件可以组织专门工厂集中生产。这样可以采用专用高效设备进行加工，有利于提高通用部件的性能，降低制造成本。
问题:组合机床的优点有哪些？,答案:组合机床的优点包括生产率高、精度高、刚性好、成本低、便于维护和修理、可以灵活适应产品变化等。
问题:组合机床的缺点是什么？,答案:组合机床的可变性较万能机床低，重新改装时有 10~20% 的零件不能重复利用，而且改装时劳动量比较大。组合机床的通用部件不是为某一种机床设计的，而是具有较广的适应性，这使得组合机床的结构较专用机床稍为复杂些。
问题:组合机床的通用部件分为哪两大类？,答案:组合机床的通用部件分为大型通用部件和小型通用部件两大类。
问题:大型通用部件和小型通用部件的主要区别是什么？,答案:大型通用部件是指电机功率为 I. 5~30 于瓦的动力部件及其配套部件，多为箱体移动的结构形式。小型通用部件是指电机功率在 0.1~2.2 千瓦的动力部件及其配套部件，多为套筒移动的结构形式。
问题:什么是大型组合机床和小型组合机床？,答案:用大型通用部件组成的机床称为大型组合机床。用小型通用部件组成的机床称为小型组合机床。
问题:组合机床按照配置型式可以分为哪两大类？,答案:组合机床按照配置型式可以分为单工位和多工位机床两大类。
问题:单工位机床有哪些配置型式？,答案:单工位机床又有单面、双面、三面和四面几种配置型式。
问题:多工位机床有哪些配置型式？,答案:多工位机床则有移动工作台式、回转工作台式、中央立柱式和回转鼓轮式等配置型式。
问题:图 1-2 所示的组合机床是什么类型的组合机床？,答案:图 1-2 所示的组合机床是一种单工位三面复合式组合机床。
问题:图 1-5 所示的组合机床有多少个加工工位？,答案:图 1-5 所示的组合机床共有两个加工工位。
问题:八工位回转工作台式小型组合机床由哪些部件组成？,答案:八工位回转工作台式小型组合机床由滑套式动力头、回转工作台、回转工作台传动机构、底座等部件组成。
问题:在组合机床上可以完成哪些工序？,答案:在组合机床上可以完成钻孔、扩孔、绞孔、攻丝、镂孔、镂孔车端面、车削和铣削等工序，还可以进行尺寸检验及简单的装配工序。
问题:采用组合机床加工柴油机的主要零件，生产效率比用万能机床提高了多少倍？,答案:采用组合机床加工柴油机的主要零件，生产效率比用万能机床一般都提高了 6~10 倍。
问题:采用组合机床自动线加工气缸盖零件比采用组合机床和专用机床组成的流水线加工有什么优势？,答案:采用组合机床自动线加工气缸盖零件可以提高效率4.6倍，降低加工成本44%，操作工人数量从32人减少到7人。
问题:采用组合机床加工多孔密集的箱体效率如何？,答案:采用组合机床加工多孔密集的箱体效率更高。例如，采用三面123轴组合钻床加工拖拉机的后桥变速箱，共效率比在摇臂钻床上加工提高近百倍。
问题:在一个每小时生产85个汽车复杂零件的车间，采用组合机床加工与采用万能机床加工相比，所需的机床数量和占地面积有什么区别？,答案:在一个每小时生产85个汽车复杂零件的车间，采用组合机床加工只需要105台，占地面积约为2125平方米。如果用万能机床加工则需要8500台，占地面积约为135000平方米。比用组合机床台数增加80倍，占地面积多16倍。
问题:组合机床在哪些领域获得了广泛应用？,答案:近几年来，组合机床在汽车、拖拉机、柴油机、电机、仪器、仪表、缝纫机、自行车、阀门、矿山机械、冶金、航空、纺织机械及军工等部门已获得广泛的使用，一些中小批量生产部门也开始推广使用。
问题:组合机床及其自动线的发展方向是什么？,答案:组合机床及其自动线的发展方向是提高生产率。目前，组合机床及其自动线的生产效率不断提高，循环时间一般是1~2分钟，有的只用10-30秒。提高生产率的主要方法是改善机床布局，增加同时工作的刀具，减少加工余量，提高切削用量，提高工作可靠性以及缩短辅助时间等。
问题:如何提高自动线的柔性和减少停车损失？,答案:采用电子计算机进行自动线的管理，以提高自动线的柔性和减少停车损失。
问题:现代组合机床及其自动线能完成哪些加工工序？,答案:现代组合机床及其自动线不仅能完成平面铣削、钻孔、扩孔、铰孔、攻丝、粗镗孔等工序，还能完成车削、仿形车削、拉床、精镗以及非切削加工（如检查、自动装配、喷漆、试验以及打印分类等）工序。
问题:如何提高组合机床及其自动线的加工精度？,答案:现在在组合机床及其自动线中纳入了很多精加工工序，如进行精镗的精加工，保证孔加工位置精度在0.02。为了稳定地保证加工精度，已广泛采用自动测量和刀具自动补偿技术，做到调刀不停车。
问题:如何提高组合机床及其自动线的自动化程度？,答案:目前，组合机床及其自动线发展十分迅速。越来越多的组合机床用于组成自动线。组合机床本身则是向全自动方向发展。为此，重点是解决工件夹压自动化和装卸自动化。近年来，可调的多工位多刀具的组合机床及其自动线得到发展，大多采用数字程序控制。除了早期发展的多品种成组加工的组合机床及其自动线外，还创造了自动换刀和自动控制刀削用量的组合机床，以及用于加工中小批生产箱体零件的可自动更换主轴箱的组合机床。
问题:什么是组合机床，它有哪些应用？,答案:组合机床是一种根据具体加工对象和工艺要求专门设计的机械，常用于批量生产中。它可以根据需要组合不同的部件，以实现多快好省的加工要求。
问题:在选择机床配置型式时，需要考虑哪些因素？,答案:选择机床配置型式时，需要考虑实现工艺方案、保证加工精度、技术要求及生产效率，同时还要考虑机床操作、维护、修理是否方便，排屑情况是否良好，以及被加工零件的生产批量等因素。
问题:什么是组合机床流水线，与单个组合机床方案有何不同？,答案:组合机床流水线是将多个组合机床按工序组合起来的生产方式。与单个组合机床方案相比，流水线可以根据工序的不同组合机床的型式和数量，从而更合理地满足工件的加工要求，提高生产效率。
问题:如何制定组合机床流水线的方案？,答案:制定组合机床流水线的方案时，应按流水线进行全面考虑，而不应将某台或几台机床分裂开来设计。即使暂时不能全面地进行流水线设计，制定方案时也应综合研究，以组合得更为合理的工序，满足工件的加工要求。
问题:组合机床设计有哪些步骤？,答案:组合机床设计通常包括工艺方案的确定、主要部件的选择和计算、组合机床的总体设计和部件设计、施工设计等步骤。这些步骤将在第二章中进行详细叙述。
问题:什么是专能组合机床，它们通常由什么组成？,答案:专能组合机床是一种可以按被加工零件的具体需要，配以简单的夹具及刀具，即可组成加工一定对象的高效设备。它们通常由单轴动力头组成。
问题:专能组合机床的设计工作是否简单，为什么？,答案:采用专能组合机床加工具体对象时的设计工作比较简单，因为它们可以根据需要配置夹具和刀具，而不需要每次按具体加工对象进行专门设计和生产。
问题:图2-1所示的专能组合机床是由什么组成的，可以完成哪些工作？,答案:图2-1所示的专能组合机床是由安装在支动力头组成的，可以实现进给运动，动力头能够完成的工作循环。这种机床留有安装夹具的位置，配上夹具和需要的刀具，即可用于加工小箱体、支承座等工件。
问题:图2-2所示的专能组合机床由什么组成，可以完成哪些工作？,答案:图2-2所示的专能组合机床由通用多能动力头组成，机床上共有四个动力头。可用于完成单轴钻孔、钝孔、铣削，装上必要装置可以完成多轴钻孔及镂孔车端面。机床中间是一个通用的移动工作台，它可以起到进给滑台和移动滑台的两种作用。
问题:专能组合机床在哪些行业中得到了应用？,答案:专能组合机床在汽车和阀门等行业得到了应用，例如可以用于加工汽车转向器壳体和左右转向节壳体，以及小阀门和管件等。
问题:什么是组合机床，设计组合机床时需要考虑哪些因素？,答案:组合机床是一种通用可调的机床，设计时需要考虑采用先进的加工工艺、制定最佳的工艺方案、确定机床工序集中程度、选择通用部件、配置型式、切削用量、设计夹具等。
问题:制定组合机床工艺方案的重要性是什么，如何制定合理的工艺方案？,答案:制定组合机床工艺方案是设计组合机床最重要的步骤之一，它直接影响到机床的性能、质量和效率。为了制定合理的工艺方案，需要全面分析工件的加工精度及技术要求，了解现场加工工艺及保证精度的有效措施，开展以工人为主体的“三结合”设计并总结生产实践经验。
问题:如何选择组合机床的通用部件和配置型式？,答案:选择组合机床的通用部件时，需要根据被加工对象的特点和加工要求选择合适的部件；选择配置型式时，需要考虑加工的工艺流程、工件的加工精度和生产批量等因素，选择最合适的配置型式。
问题:切削用量对组合机床设计有何影响，如何合理选择切削用量？,答案:切削用量是影响加工质量和效率的重要因素，合理选择切削用量可以提高加工效率和保证加工质量。选择切削用量时，需要根据工件材料、刀具材料、机床刚性等因素进行综合考虑，选择合适的切削速度、进给量和切削深度。
问题:如何确保孔间位置精度要求很高时的工艺安排？,答案:当孔间位置精度要求很高时，应使所有孔的精加工在同一个工位上进行。若同一轴线上的几个孔同心度要求较高，应尽可能考虑从一面进行加工。
问题:被加工零件的特点如何影响机床工艺方案的制定？,答案:工件材料及硬度、加工部位的结构形式、工件的刚性、工艺基面等都会对机床工艺方案的制定产生重要影响。例如，加工同样精度的孔，加工钢件所需的工步数比加工铸铁件多一些；加工薄壁易振的工件时，工序安排要防止共振；工件内壁孔径大于外壁孔径时，只能采用单刀镂的加工方法；工件刚性不足时，工序不能太集中等。
问题:如何根据工件的生产批量大小制定机床工艺方案？,答案:被加工零件的生产批量大小对机床工艺方案的制定也有影响。如果生产批量较大，可以考虑采用自动化程度较高的机床；如果生产批量较小，可以采用精度较高、成本较低的机床。
问题:什么是大批大量生产中箱体零件的工序安排方式？,答案:大批大量生产中，箱体零件的工序安排通常采用分散的方式。以气缸体为例，缸孔和三轴孔加工多由两套机床完成，粗加工、半精加工及精加工也分别在不同机床上进行。
问题:中小批生产中如何安排箱体零件的工序？,答案:在中小批生产情况下，完成同样工艺内容应力求减少机床台数，将工序尽量集中在一台或少数几台机床上进行加工，以提高组合机床的利用率。
问题:制定组合机床工艺方案时需要考虑使用厂的哪些能力？,答案:制定组合机床工艺方案时，需要考虑使用厂是否有相当的工具制造能力。若使用厂制造刃磨复杂的复合刀具或特殊刀具有困难，则应避免采用这类刀具。
问题:在组合机床设计工作中，了解被加工零件的加工内容及与之相关的是哪个阶段的任务？,答案:在组合机床设计工作中，了解被加工零件的加工内容及与之相关的是设计工作的第一步。
问题:选择工艺基准和夹压部位在制定工艺方案中的重要性是什么？,答案:选择工艺基准和夹压部位是制定工艺方案的极其重要的。工艺基准选择的正确能够实现最大限度的工序集中，从而减少机床台数，也是保证加工精度的重要条件。
问题:什么是“一面二孔”定位方法，它用于哪种类型的工件加工？,答案:“一面二孔”定位方法是一种用于箱体零件在组合机床上加工时常用的典型定位方法。它用于精度高的孔需要加工且常常要在几次安装下进行的工件，如汽车拖拉机行业的气缸体、气缸盖、后桥、变速箱、离合器本体等。
问题:“一面二孔”定位方法有哪些优点？,答案:“一面二孔”定位方法有以下优点：1）可以限制工件的六个自由度，使工件获得稳定的固定位置；2）有可能同时加工五个面，有利于高度集中加工工序；3）有利于提高各面上孔的位置精度；4）使夹紧方便，夹紧机构简单，容易使夹紧力对准支承；5）容易实现自动化定位，并有利于防止切屑落入基面。
问题:定位孔直径为何不宜太小？,答案:定位孔直径不宜太小，因为太小的定位销在加工中容易受力产生较大的变形，甚至在装卸工件时也容易碰坏。
问题:工艺基面应如何规定公差以保证箱体零件的加工精度及技术要求？,答案:为了保证箱体零件的加工精度及技术要求，工艺基面必须规定相应的公差。
问题:定位孔的精度一般为几级，二销孔中心距的公差一般为多少？,答案:定位孔的精度一般为2级（D），二销孔中心距的公差一般为±0.03～±0.1毫米。
问题:什么是定位平面，理想情况下定位平面的大小应该是多少？,答案:定位平面是力求大的，理想情况下切削力均能落在定位平面之内。
问题:定位平面的光洁度和不平直度应该控制在什么范围内？,答案:定位平面的光洁度一般为5~6，不平直度为0.05~0.1毫米。
问题:对于不具备“一面二孔”定位基准的箱体件，可以采用什么定位方法？,答案:对于不具备“一面二孔”定位基准的箱体件，可以采用平面定位法。
问题:什么是设计基面，如何选择主要的定位面？,答案:设计基面是箱体件在机器中的主要安装面，选择主要的定位面最好采用箱体的设计基面。
问题:当工件的某一平面不便安装和加工时，可以采用什么方法解决？,答案:当工件的某一平面不便安装和加工时，可以采用工艺凸台或者将工件先固定在定位拖板上，然后进行定位。
问题:组合机床上经常加工哪些畸形零件，其定位基准有哪些定位方法？,答案:组合机床上经常加工曲轴、连杆、半轴、空气压缩机壳、机油泵壳、半轴套管、万向接头、转向器壳、后桥、阀体、轮壳、左右转向节、气轮回套筒以及电机座等畸形零件。其定位基准各式各祥，但大致有下述几种定位方法：(a) 对曲轴、半轴等一类工件采用以V形铁为主要定位元件的定位方法。
问题:当采用 V 形铁定位时，对工件定位圆的公差有什么要求？V 形铁的角度应为多少？,答案:当采用 V 形铁定位时，对工件定位圆的公差应有要求，同时 V 形铁的角度亦应做得大一些，一般为 90°~l20° ，以提高定位精度。
问题:可以采用什么方法限制圆周方向的转动？,答案:当需要时可以用一个孔、一个筋或凸台来限制圆周方向的转动。
问题:什么是自动定心定位方法？适用于哪些工件？,答案:自动定心定位方法是一种以外圆自动定心的定位方法，适用于以毛还外圆定位的气缸套、小阀门及管件等工件的定位。
问题:对于薄壁易变形的工件，应选择什么样的定位基准？,答案:对于薄壁易变形的工件常以端面及外圆做为定位基准。
问题:在组合机床上加工时，应尽量选用什么作为定位基准？为什么？,答案:应当尽量选用设计基面作为在组合机床上加工用的定位基准，这样能减少累积误差，有利于保证加工精度。但在某些情况下却必须改用其它面做为定位基准。
问题:如何在底面和顶面定位方法之间切换以减少夹紧力和提高加工稳定性？,答案:将定位基面局部更改，即仍采用底面上的两个定位销孔，再加上顶面的定位方法。
问题:选择定位基面时应注意哪些方面？,答案:选择定位基面应考虑夹紧方便和夹具结构简单。
问题:在哪些情况下需要在机床夹具上增加辅助支承机构？,答案:当工件刚性不足、定位基面较小、定位平面平直性差或切削力很大时，需要在机床夹具上增加辅助支承机构。
问题:确定夹压位置时应注意哪些？,答案:确定夹压位置时应注意保证工件夹压后定位稳定，并考虑定位的可靠性和工作的稳定性以及加工精度。组合机床是按集中工序组成的。
问题:什么是多轴、多面同时加工，为什么切削负荷重？,答案:多轴、多面同时加工是指在加工过程中对工件的多个轴和多个面同时进行加工，这样可以提高加工效率。由于同时进行多个加工，切削负荷重。
问题:为什么在加工过程中必须将工件牢固地夹住，并具有足够的夹压刚度？,答案:为了使工件在加工过程中不产生位移和振动，必须将工件牢固地夹住，并具有足够的夹压刚度。夹压点的布置应使夹压合力落在定位平面之内，力求接近定位平面的中心。
问题:为什么夹压点应避免放在工件加工部位的上方？,答案:夹压点应避免放在工件加工部位的上方，力求使其靠近箱体的筋或壁，以减少夹压变形而影响加工精度。
问题:为什么对刚性差的工件，力求使夹压点对着定位支承点？,答案:对刚性差的工件，力求使夹压点对着定位支承点，如图2-13b所示电机座的定位夹压情况，就是使夹压力通过电机座的大筋直接作用在支承点上，避免形成力矩，造成工件变形而影响精度。
问题:什么是组合机床，它主要用于哪些加工工序？,答案:组合机床是一种可以完成多种加工工序的机床，主要用于进行钻孔、扩孔、铰孔、镂孔及攻丝等加工工序。随着组合机床在机械加工中的广泛使用，组合机床的工艺范围也不断扩大，可以进行精密镂孔、铣面、车削、磨削、拉削以及滚压等工序。
问题:什么是组合铣床，它们用于什么目的？,答案:组合铣床是为了提高平面加工效率而采用的机床，常用于加工大平面、气缸体、气缸盖、齿轮箱等箱体零件。
问题:组合铣床可以如何实现工序集中程度的提高？,答案:为了提高组合铣床的工序集中程度，可以对工件同时从三面进行铣削，可以采用工件进给而铣头不动或工件不动而铣头进给的方法。
问题:为什么立式铣头悬臂大、采用多个动力滑台的加工方法不经济、可靠性差？,答案:立式铣头悬臂大，加工中容易引起振动，采用多个动力滑台实现进给运动会增加成本，且这种加工方法的可靠性较差。
问题:什么是“让刀”铣头，何时需要使用它？,答案:当平面光洁度要求高、不允许有划痕时，可以采用能“让刀”的铣头。工件铣削完快退前，各铣头的刀盘自动缩回一个距离，避免加工过的平面快速经过铣刀留下划痕。
问题:图2-19展示了什么加工方法的典型示例？,答案:图2-19展示了铣削加工的典型示例。
问题:什么是组合机床采用的普通钻削动力头加工平面的方法？,答案:组合机床上采用普通的钻削动力头，装上专门的铣削主轴箱来加工平面。这多用于铣削平面与其他孔加工工序同时进行的情况。
问题:组合机床采用多个平面圆盘铣刀加工多个小平面的方法是什么？,答案:根据需要，还可以采用多个平面圆盘铣刀安装在同一铣轴上，同时铣削儿个小平面。
问题:铣削电机座底脚及粗螺孔的加工方法是什么？,答案:图2-20所示是铣削电机座底脚及粗螺孔的加工方法。
问题:精铣时每齿走刀量和铣削速度应如何选择？,答案:精铣时每齿走刀量要小，一般在0.05~0.20毫米，铣削速度则应该高一些，对铸铁零件来说，一般在80~130米/分。
问题:钻孔有哪两种情况？,答案:钻孔有一般钻孔（钻孔深度不大）和钻深孔两种情况。
问题:钻深孔时为什么要采取分级进给的办法？,答案:钻深孔时，为了防止切屑堵塞而引起钻头折断，要采取分级进给的办法，即在加工过程中钻头定期退出以排除切屑。
问题:什么是组合机床常用的钻孔工具？,答案:组合机床上钻孔多数是用标准麻花钻，有时也采用扁钻。扁钻多用于加工直径较大的孔，一般孔径范围在20~60毫米。
问题:组合机床上钻孔工序大多是哪个工序前的加工？,答案:组合机床上钻孔工序大多是扩孔工序前加工底孔及加工螺纹底孔的。]
问题:什么是钻孔精度，一般可以达到什么级别？,答案:钻孔精度是指在铸铁工件 L 上钻孔的精度，一般可以达到 6 级，光洁度为 V3。
问题:钻孔位置精度一般可以达到多少？,答案:钻孔位置精度一般可以达到士 0.20 毫米。
问题:钻孔孔径及位置精度主要取决于哪些因素？,答案:钻孔孔径及位置精度主要取决于导向精度及钻头的刃磨情况。
问题:如何提高钻孔孔径及位置精度？,答案:为了提高钻孔孔径及位置精度，要减小导向和钻头间的间隙，严格控制钻头切削刃的摆差，使导向适当靠近被加工零件以及严格要求主轴与导向之间的同心度。这样也可以达到位置精度士 0.15 毫米。
问题:在什么情况下可以不用导向进行钻孔？,答案:在钻头直径较大和主轴刚性好时，就可以不用导向进行钻孔。
问题:深孔加工时应考虑哪些？,答案:深孔加工时应考虑切屑排除困难、刀具冷却困难和钻孔轴线容易歪斜等。
问题:为什么钻孔深度和钻头直径之间的关系会影响钻孔过程？,答案:钻孔深度和钻头直径之间的关系会影响钻孔过程，因为钻孔深度越大，钻头受到的切削力和热量就越大，这可能导致钻头折断或磨损加剧。
问题:分级进给方法是什么，为什么在深孔加工中推荐使用？,答案:分级进给方法是一种加工方法，钻头在加工过程中定期退出，以便排除切屑并喷射冷却液，清除钻头上的切屑并进行冷却。在深孔加工中推荐使用这种方法，因为当钻孔深度大于推荐值时，排屑不畅可能会导致加工过程出现。
问题:对于钢件和铸铁件，每次钻削深度应该选择多少？,答案:对于钢件，每次钻削深度应比加工铸铁件小，因为钢件的切削阻力更大。孔愈深，排屑愈困难，每次钻深值则应更小。对于长钻头没有螺旋槽的圆柱部分进入孔内时，钻深值应更小。
问题:在组合机床上使用麻花钻头加工深孔时，每次钻削深度应该如何选择？,答案:在组合机床上使用麻花钻头加工深孔时，每次钻削深度应根据被加工零件的材料、孔深以及加工方法和具体情况进行选择。一般情况下，对于铸铁件，每次钻削深度可按照表 2-1 的推荐范围选择；对于钢件，每次钻削深度需要根据实际加工情况校正确定。
问题:如果需要加工的深孔是通孔，应如何进行加工？,答案:如果需要加工的深孔是通孔，则可以从两面进行钻孔。在加工过程中，需要注意调整每次钻削深度，以确保排屑畅通并避免钻头折断或磨损加剧。
问题:如何解决深孔加工中的接不准台阶？,答案:如果允许将深孔做成梯形，并将其分为几个L位或几台机床上进行加工，就可以将深孔变为浅孔加工，从而避免接不准台阶的。
问题:阶梯孔之间直径一般应如何调整？,答案:各阶梯孔之间直径一般应逐渐减小0.2~0.3毫米，以使钻头易于进入已加工的孔。
问题:在什么情况下可以采用分段加工深孔的方案？,答案:只有在设计自动线或流水线时，且不因分段加工而增加机床台数时，才能采用分段加工深孔的方案。
问题:深孔加工过程中需要采取哪些措施？,答案:为了使深孔加工过程能够顺利进行，需要根据具体情况灵活地采取不同的措施。例如，为了排屑方便，小直径深孔加工应当采取卧式机床加工的方案；刀具的结构形式对排屑也有重要的影响，例如采用螺旋槽角度较大的钻头可以方便排屑。
问题:对于直径为￠14毫米的螺旋槽角度为45°的钻头，在卧式组合机床上加工深孔时，其钻孔切削用量应如何设置？,答案:对于直径为￠14毫米的螺旋槽角度为45°的钻头，在卧式组合机床上加工深孔时，其钻头转速n应设置为295转/分，切削速度v应设置为13米/分，每分钟进给量S应设置为110毫米/分。
问题:采用“中空”钻头加工直径较大的深孔时，冷却液如何进入加工空间？,答案:加工时冷却液通过钻头进入加工空间，使切屑排出，并且可提高冷却效果。
问题:如何提高冷却效果？,答案:为了提高冷却效果，可将工件浸入冷却液中加工。目前在加工曲轴、高压泵体等零件的深孔时，就是采用“水盆”式夹具，将工件浸在冷却液中进行的。
问题:如何减少钻深孔的轴线歪斜？,答案:影响钻深孔轴线直线性的主要因素是钻头切削刃的对称性及钻头的导向条件。因此提高钻头切削刃的对称性，并采用较长的导向，缩小导向距工件的距离（以不妨碍排屑为原则），是提高钻深孔轴线直线性的主要措施。此外，可采取大直径的中心钻在精密导向中预先钻出一个准确的中心导向孔，以及使工件旋转加工，在一定程度上也能提高深孔的直线性。
问题:在钢件上钻深孔时，为什么需要设法让切屑断屑？,答案:因为在钢件上钻深孔时，长卷切屑对加工过程的顺利进行有很大影响，因此需要设法使其断屑。
问题:如何实现断屑？,答案:断屑可以通过在钻头的切削刃上磨出断屑槽或采用动力头断续进给来实现。
问题:什么是扭矩保护装置，它的作用是什么？,答案:扭矩保护装置是一种在钻头在切屑阻塞扭矩增大时，主轴对带其旋转的机构产生相对转动，并接通一个信号使动力头退回，排除切屑，然后，在挡铁作用下又前进加工的装置。其作用是保护钻头，并减少中间退回次数，有利于提高深孔加工的生产率。
问题:图 2-24 所示的过扭矩保护机构中，电动机的旋转运动是如何传给主轴的？,答案:电动机的旋转运动通过齿轮及四个盘形弹簧 2 传给主轴 l。
问题:当扭矩超过许可值时，过扭矩保护机构是如何工作的？,答案:当扭矩超过许可值时，主轴与主轴上的齿轮产生相对转动，主轴上继电器的触点 6 与齿轮上继电器的触点 7 逐渐接近，当两触点接触时，通过电刷 4 接通快速退回线路，使动力头快速退回，以防钻头折断。
问题:如何调整盘形弹簧的扭矩值？,答案:通过改变弹簧键3所在槽的位置和转动主轴继电器的浪花螺母，改变牙形离合器5的位置来微调扭矩值。
问题:压力弹簧过扭矩保护机构的工作原理是什么？,答案:电机的旋转运动通过齿轮及两个压力弹簧4传给主轴5，通过螺钉3调整扭矩值。当扭矩超过许可值时，主轴5与其上的法兰盘2产生相对转动，通过继电器的触点切断电源，实现过扭矩保护。
问题:组合机床可以进行哪些加工？,答案:组合机床可以扩圆孔、锥孔、锪窝、倒角、锪平台以及扩成形面等。
问题:扩孔工序在加工过程中的位置是什么？,答案:扩孔工序多半是精铰或精镗前的粗加工工序。
问题:扩孔钻的加工精度如何？,答案:扩孔钻有较多的导向刃带，因此其加工精度比钻头高。在铸铁件上扩孔，孔的精度能达到6~5级，表面光洁度为Ra 4左右，个别情况亦可以达到4级精度及Ra 5的光洁度。
问题:如何提高扩孔精度？,答案:要减小扩孔钻与导向套的径向间隙，并使导向适当靠近加工表面，以及严格要求主轴与导向的同心度。
问题:在哪些情况下采用悬臂加工扩孔或钻孔？,答案:在一些薄壁工件上扩孔或钻孔后扩孔多采用悬臂加工。
问题:如何合理设计套料刀具？,答案:要合理设计制造套料刀具，保证能很好地分屑和断屑。套料刀应设计导向键，导向键的直径一般应较加工孔直径小0.01~0.05毫米。
问题:如何选择切削用量？,答案:一般来说，每转走刀量不宜太大。如套钻直径小130毫米孔时，比较合适的切削用量为：v=51米/分，s转=0.1~0.13毫米/转。
问题:加工时应如何选择冷却液？,答案:加工时必须采用流量大、压力高的冷却液。冷却液应严格过滤，保持冷却液的清净。
问题:如何设计夹具？,答案:夹具必须有很好的密封，且刀具开始切削时应有良好的导向。由于机床加工时采用压力较高的冷却液，故夹具设计要有很好的密封。导向一般都是紧贴工件的，端面密封机构就设在导向上。导向上还要考虑冷却液的回路及排除切屑的密封口。
问题:如何解决套出棒料的支撑？,答案:因为在快加工完毕时，套钻转动棒料会在套钻内乱摆动，以致打坏刀头。对加工中等尺寸、精度要求高、孔深很大的钢件孔，则必须寻求新的加工方法。图2-32所示是加工长达1600毫米的深孔加工方法。加工时首先用“外冷内排”深孔钻加工出底孔，然后用“外冷内排”深孔镂头精加工一次，能达到较高的精度。]
问题:什么是孔的直线性范围，如何保持？,答案:孔的直线性一般能保持在0.5~1毫米范围内，通过“外冷内排”加工方法可以实现。
问题:什么是“外冷内排”加工方法，如何实现？,答案:“外冷内排”加工方法是指切削液从刀杆外孔进入切削区，带着切屑从刀杆中孔向后排出。通过设计分屑和断屑，以及使用带有导向键的刀具，可以实现这种加工方法。
