例子,故障现象,分析过程,,,,,,,
"例61.3M系统接口模块不良引起的故障维修
","故障现象：某配套SIEMENS3M4B的加工中心，机床加工过程中，显示器突然无显
示。
","分析及处理过程SIEMENS3M系统无显示的原因有两方面：一是系统硬件故障，是
系统软件出错；对于后者，一般可以通过对系统的初始化进行恢复（详见后述）。
检查系统各主要模块的指示灯状态，电源模块5V指示正常；CPU模块（6FX1122–03840）上的监控指示灯正常（不亮），则表明故障原因在CRT或操作面板接口模块
（03731）上。
检查CRT电源正常，CNC与MD?RT间的连接可靠，排除了外部原因。通过互换法，最终确认故障原因是操作面板接口模块（03731）不良，更换后显示恢复正常。",,,,,,,
"例62.8M系统5V监控引起的故障维修
","故障现象：某配套SIEMENS8M的加工中心，机床加工过程中，偶尔显示器无显示，重新开机后，通常又可以恢复正常。
","分析及处理过程由于故障偶尔出现，关机后又可以恢复，初步认为系统无硬件损坏。在发生故障时，检查系统操作面板上的MS401接口模块，发现内部无5V工作电压。考虑到故障的偶发性，分析原因与5V监控回路有关。通过调整5V调节电位器，机床经多次起动，均可以正常工作，但不久故障又重复出现。
经过详细了解，在调整了5V以后，故障频率已经降低，但仍然未彻底消除。为了保证机床的正常工作，维修时根据5V监控原理，在确认对系统无影响的情况下，更换了5V监控电路的电阻，适当扩大了5V的允许变动范围，故障不再出现。",,,,,,,
"例63.880系统无显示的故障维修
","故障现象：某配套SIEMENS880M的加工中心，机床加工过程中，显示器突然消失，再次开机后无显示。
","分析及处理过程检查系统各主要模块的指示灯状态全部正常，甚至在无显示的情况下，机床仍然能够手动移动，证明故障仅仅在系统的显示部分。
取下CRT检查，经检查发现，CRT上的高压包的一个线圈接头烧断，重新连接后故障排除，机床恢复正常。",,,,,,,
"例64.810系统显示突然消失的故障维修
","故障现象：某配套SIEMENS810M的加工中心，机床加工过程中，显示器突然无显
示。
","分析及处理过程810M系统无显示的原因有两方面：一是系统硬件故障，二是系统
软件出错；对于后者，可以通过对系统的初始化进行恢复。
为了判别故障原因，维修时对系统进行初始化处理：按住系统面板上的诊断键（有“眼睛”标记的键），接通电源起动系统，但系统仍然无初始化页面显示。
由此可以判定，系统的显示器损坏，更换显示器后，机床恢复正常。例65.810系统显示驱动不良的故障维修
","故障现象：某配套SIEMENS810M的加工中心，机床加工过程中，显示器突然变成水平一条亮线。
","分析及处理过程由于本机床工作正常，无故障，系统仅仅是显示器突然变成水平一条亮线，所以维修只须针对显示器进行。数控系统的显示器驱动电路与电视机原理相同，本故障属于显示的场偏转与场输出电路故障，经检查该显示器的场输出管损坏，更换场管后，显示恢复正常。
类似故障：某配套SIEMENS810M的加工中心，机床加工过程中，显示器突然变成垂直一条亮线。
",分析及处理过程由于本机床工作正常，无故障，系统仅仅是显示器突然变成垂直一条亮线，所以故障属于显示的行偏转与行输出电路故障。经检查该显示器的行输出管损坏，更换后显示恢复正常。,,,,
"例66.810系统页面不能转换的故障维修
","故障现象：配套SIMENS810M的加工中心，开机后CRT停留在位置显示页面，无法进入其他任何显示页面。
","分析及处理过程：经检查，系统除显示页面不能改变外，其他部分工作均正常，且在这种情况下，系统完全可以正常工作，由此判定系统、显示均无故障，故障原因应在页面选择与页面转换上。

进一步仔细检查，发现系统的位置显示软功能件被卡住，未能复位，重新拉出后，系统页面可以正常转换。
维修体会与维修要点：
1）根据个人的维修经验，在FANUC系统中，系统无显示的硬件方面原因，除公共电源单元的故障外，一般都是由于连接不良引起的；显示回路、显示板元器件损坏的故障情况非常少，因此维修时重点应检查系统与显示器的连接电缆。
2）在SIEMENS系统中，无显示的故障偶然有发生。硬件方面，由于810显示器与系统一体，因此，基本上可以排除连接方面的故障原因；显示回路、显示板元器件损坏的故障情况偶然存在，因此维修时重点应检查显示器本身。
3）数控系统的显示器驱动电路与电视机原理相同，故障多属于显示的行、场输出电路，维修可以参照电视机的有关维修方法。
4）对于一般的显示不良故障，如：亮度、辉度、同步、幅度等问题，通过对显示器的调节即可以解决，调节方法与电视机的调整相同。CRT无显示的一般诊断方法如下：
€接通电源数分钟，再关闭CRT，若显示器上有光斑，则证明CRT有光栅，可以排除显示器电源回路的故障；若CRT无光斑，则属于显示器无光栅，应重点检查显示器电源
（一般为DC12V）、系统公共电源回路（DC24V）。
""若CRT有光栅，但无显示，则可以通过调节CRT的“辉度”电位器，观察显示器是否会出现画面变白。若画面无变化，则故障原因可能在“辉度”调节、控制回路，这时应重点检查“辉度”调节、控制回路的有关电路与元器件。
€若调节“辉度”电位器后，画面变白，但显示器无画面显示，则可以确定显示器正常，故障原因在显示器的视频信号输入上，可以按以下步骤，通过逐级测量视频信号，检查故障原因。
$检测系统视频信号（在部分FANUC系统中，CRT控制板上带有直接视频信号的测量端VIDEO），若系统无视频信号输出，则属于系统CRT接口板故障，应更换CRT接口权或对CRT接口板进行维修。
%若系统有视频信号输出，则故障原因应在显示调节单元上，这一单元的结构与普通电视机的电路相似，一般情况下，可以对其进行元件级的维修处理。
&对于显示器图像的稳定性、辉度、同步性能、幅度等方面的调节，可以直接通过显示单元的“辉度”、“对比度”、“水平同步”、“垂直同步”、“场幅”、“行幅”、“线性”等调节电位器与偏转磁铁进行调整，其维修、处理方法与普通电视机相同。
3.其他系统显示故障维修9例",,,,,,,
"例67.LJ–10T系统天显示的故障维修
","故障现象：配套LJ–10T的数控车床，开机后CRT无显示。

","分析及处理过程：经检查发现，系统与CRT的连接以及系统电源正常，初步判断故障原因在显示器本身的控制电路中。
测量CRT作电源（DC12V）发现，当显示器不工作时，DC12V正常，但在CRT作以后，实际电压只有DC5V左右。
进一步测量发现，CRT电源输入正常，但集成稳压器（AN7812）输出电压为DCSV。更换AN7812后，显示恢复正常。",,,,,,,
"例68.LJ–10T系统视频信号无输出的故障维修
","故障现象：配套LJ–10T的数控车床，开机后CRT无显示。
","分析及处理过程：经与上例同样的检查，测量CRT作电源DC12V正常，但显示器无视频信号输入。
进一步检查发现，系统MTB板上的视频信号输出回路的一只电容器对地短路；更换后，显示恢复正常。",,,,,,,
"例69.LJ–10T同步分离电路故障的维修
","故障现象：配套LJ–10T的数控车床，开机后CRT无显示。
","分析及处理过程：经与上例同样的检查，测量CRT作电源DC12V正常，但显示器无视频信号输入。进一步检查发现，系统（MTB板）上的视频信号输出正常，显示器有光栅。因此，初步判定故障原因在CRT的同步分离电路上。该系统的CRT同步分离电路原理如图4–12所示；经测量发现，行、场同步输出信号正常，但射频信号无输出。对照原理图检查发现，视频信号在R1、R2连接处无信号，但C1、C2正常，由此判定故障在R2上。测量发现，R2对地短路，更换后，显示恢复正常。
类似故障：配套LJ–10T的数控车床，开机后CRT无显示。
","分析及处理过程：经以上同样的检查，测量CRT工作电源DC12V正常，系统（MTB板）上的视频信号输出正常，显示器有光栅。因此，判定故障原因在CRT的同步分离电路上。
对照原理图检查发现，行、场同步输出信号正常，但射频信号无输出。而视频信号在C307、C306连接处仍然有信号，但射频信号无输出，由此判定故障在C306、R301上。
测量发现，R301断开，更换后，显示恢复正常。例70.NUM1020T系统显示不能变化的故障维修
","故障现象：某配套NUM1020T系统的数控车床，开机后发现CRT屏幕显示页面不能变化，引起死机。
","分析及处理过程：数控机床发生死机的原因通常与系统软件、信号线的屏蔽等原因有关。在NUM系统中，对CRT到NC的传输电缆屏蔽线要求较严，如果没有按要求连接屏蔽线，容易造成CRT的显示死机。在本机床上，经检查故障原因为CRT到NC的传输

电缆的屏蔽线脱落，重新焊接后，机床恢复正常。


图4–12CRT同步分离电路原理图例71.HEIDENHAINTNC355B无显示的故障维修
","故障现象：某配套HEIDENHAINTNC355B的数控铣床，机床加工过程中，显示器突然无显示。
","分析及处理过程由于本机床无显示，所以维修首先只须针对显示器进行。经检查，显示器有光栅，但无图像，分析故障原因是行输出电路故障。
经测量检查后确认，原因是内部集成电路TDA2594损坏，更换后，显示恢复正常。例72.HEIDENRAINTNC355B显示不稳定的故障维修
","故障现象：某配套HEIDENHAINTNC355B的数控铣床，显示器显示不稳定，图形上下移动。
","分析及处理过程由于本机床工作正常、无故障，系统仅仅是显示不稳定，页面上下移动，因此维修只须针对显示器进行。重新调整显示器的“同步”电位器后，显示恢复正常，但不久页面又上下移动。
根据以上现象判断显示器同步电路存在故障，经认真检查发现，显示器的同步电路存在虚焊，重新焊接后，显示恢复正常。"
"例73.FAGOR8030系统无显示但机床仍然工作的故障维修
","故障现象：某配套FAGOR8030的立式加工中心，在机床加工过程中，系统突然无显示，但机床加工仍然未停止；重新开机后，系统无显示。

","分析及处理过程由于机床在无显示的情况下工作仍然正常，可以认为故障原因仅仅是显示器本身的原因。
为了验证，在无系统显示的情况下，按照通常的操作步骤，依次进行操作，发现机床仍然可以运动，由此确认故障仅仅是显示器本身的原因。
经检查发现，该机床的显示器电源、连接电缆均正常，排除了外部原因。重新更换显示器后，机床恢复正常。",,,,,,,
"例74.FAGOR8030系统显示时有时无的故障维修
","故障现象：某配套FAGOR8030的立式加工中心，在机床加工过程中，系统显示自动消失，但机床加工不停止。重新开机后，系统又出现正常显示；但连续工作数小时后，显示又消失。
","分析及处理过程分析故障与计算机的屏幕自动保护动作十分相似，但由于FAGOR8030系统并无此功能，且按下面板上的任意键，显示均无法恢复，故确认CRT存在故障。经检查发现，该机床的显示器电源、连接电缆均正常；重新更换显示器后，机床恢复正常。
类似故障：某配套FAGOR8050的龙门加工中心，在机床加工过程中，系统突然无显示，但机床加工不停止。故障出现后，重新开机，系统又出现正常显示；但工作数小时后，显示又消失。
",分析及处理过程,故障现象与分析过程同上，虽然数控系统不同，但,故障现象与原因完全一致，处理后机床恢复正常。,,,,
"例75.FAGOR8050系统显示时有时无的故障维修
","故障现象：某配套FAGOR8050的龙门加工中心，在机床加工过程中，系统突然无显示。重新开机后，系统无显示；但在等待数小时后，显示又可以恢复正常，此后工作数小时，显示再度消失。
","分析及处理过程本例故障与例74相似，经检查可以确认，该机床的显示器电源、连接电缆均正常；排除了外部原因。
由于FAGOR8030/8050的显示器","故障现象较普遍，虽然各显示器的故障情况有所不同，但一般均为显示器本身的原因。直接更换显示器后，机床恢复正常。
维修体会与维修要点：
在初期的FAGOR3030、8050系统中，显示器无显示的故障十分普遍，其","故障现象一般有：
€在加工过程中，显示突然消失，重新开机后，系统又出现正常显示；但工作数小时后，显示又消失。
""在加工过程中，显示突然消失，重新开机后，系统无显示。

在FAGOR3030、8050系统中，以上故障一般都是显示器本身的损坏、故障，因此，维修时重点应检查显示器本身或直接进行更换。特别是对于重新开机显示又可以恢复的情况，通常也与外部原因无关，应直接进行显示器的更换。

1.例76.6M系统ALM901报警的维修
|故障现象：某配套FANUC6M的加工中心，在机床工作过程中，系统出现ALM901磁泡存储器报警，多次开机故障不能消除。
|分析及处理过程在FANUC6中，当出现系统报警ALM901、ALM905、ALM906时，说明磁泡存储器发生了故障，这时可以通过对磁泡存储器的初始化操作进行清除。
磁泡存储器的初始化操作步骤如下：
1）从系统上取下磁泡存储器板，从存储器板上（或从需要更换的新存储器板上）读取不良环信息（如：012、024、042等，这些信息被记录在磁泡存储器板的标签上，不良环的数量与信息内容，根据存储器板的不同有所区别）。
2）重新安装上磁泡存储器板（在系统断电的情况下进行）。
3）按住“–”与“.”键，同时接通系统电源，CRT出现以下画面：
IL———MODE
1TAPE
2MEMORY
3ENPANE
4BUBBLE
5PC—LOAD
6RAMTEST
4）按MDI面板的数字键4，选择磁泡存储器初始化模式：CRT显示以下画面：
BUBBLEINITIALIZEFUNCTIONKEY
1AAITEBYTAPE

2""RITEBYMANUAL
3DISPLAYLOOPDATA
4ORIGINRETURNTOIL———MODE
5）按MDI面板的数字键2，选择手动写入模式，CRT显示以下画面：
BUBBLEINITIALIZEMAKEBMUS""ITCHON
6）将主板上的BMUFREEMODE开关打到ON位置，CRT显示以下画面：
BUBBLEINITIALIZESTEP1
INPUT＝INPUT：INPUTLOOPDATADELET：CLEARALLDATASTART：""RITEBUBBLE
7）用数字键键人不良环信息，并按INPUT键输入，当输入错误时，可以利用DELET、CAN键清除后，重新输入；当不良环信息超过1个时，需要多次输入，直到全部不良环信息输入完成。
8）按START键，进行不良环信息的写入，CRT显示以下画面：
BUBBLEINITIALIZEDEVICE1024042
DEVICE1039052068
9）将主板上的BMUFREEMODE开关打到OFF位置。
10）断开系统电源；再次接通系统。
11）重新输入系统参数。
在本机床中，经以上处理后，报警仍然存在，因此，基本可以排除参数错误的原因，估计故障是由于磁泡存储器本身不良引起的，为此，更换了系统的磁泡存储器板。换上新的磁泡存储器板后，再次对存储器进行了初始化处理，其步骤同上。经过以上处理后，系统恢复正常。","故障现象：某配套FANUC6M的加工中心，在机床工作过程中，系统出现ALM901磁泡存储器报警，多次开机故障不能消除。
","分析及处理过程在FANUC6中，当出现系统报警ALM901、ALM905、ALM906时，说明磁泡存储器发生了故障，这时可以通过对磁泡存储器的初始化操作进行清除。
磁泡存储器的初始化操作步骤如下：
1）从系统上取下磁泡存储器板，从存储器板上（或从需要更换的新存储器板上）读取不良环信息（如：012、024、042等，这些信息被记录在磁泡存储器板的标签上，不良环的数量与信息内容，根据存储器板的不同有所区别）。
2）重新安装上磁泡存储器板（在系统断电的情况下进行）。
3）按住“–”与“.”键，同时接通系统电源，CRT出现以下画面：
IL———MODE
1TAPE
2MEMORY
3ENPANE
4BUBBLE
5PC—LOAD
6RAMTEST
4）按MDI面板的数字键4，选择磁泡存储器初始化模式：CRT显示以下画面：
BUBBLEINITIALIZEFUNCTIONKEY
1AAITEBYTAPE

2""RITEBYMANUAL
3DISPLAYLOOPDATA
4ORIGINRETURNTOIL———MODE
5）按MDI面板的数字键2，选择手动写入模式，CRT显示以下画面：
BUBBLEINITIALIZEMAKEBMUS""ITCHON
6）将主板上的BMUFREEMODE开关打到ON位置，CRT显示以下画面：
BUBBLEINITIALIZESTEP1
INPUT＝INPUT：INPUTLOOPDATADELET：CLEARALLDATASTART：""RITEBUBBLE
7）用数字键键人不良环信息，并按INPUT键输入，当输入错误时，可以利用DELET、CAN键清除后，重新输入；当不良环信息超过1个时，需要多次输入，直到全部不良环信息输入完成。
8）按START键，进行不良环信息的写入，CRT显示以下画面：
BUBBLEINITIALIZEDEVICE1024042
DEVICE1039052068
9）将主板上的BMUFREEMODE开关打到OFF位置。
10）断开系统电源；再次接通系统。
11）重新输入系统参数。
在本机床中，经以上处理后，报警仍然存在，因此，基本可以排除参数错误的原因，估计故障是由于磁泡存储器本身不良引起的，为此，更换了系统的磁泡存储器板。换上新的磁泡存储器板后，再次对存储器进行了初始化处理，其步骤同上。经过以上处理后，系统恢复正常。",,,
"例77.6M系统ALM908、ALM911报警的维修
","故障现象：一台卧式加工中心机床，配套FANUC6M系统，在机床较长时间未开机后，开机时出现908和911号报警。
","分析及处理过程在FANUC6中，当出现系统报警ALM908、ALM911时，说明磁泡存储器故障和RAM奇偶出错。通过对磁泡存储器的初始化操作进行清除，故障仍然无法消除：然后采用替换法，确认磁泡存储器与主控制板都存在故障。更换磁泡存储器板与

主板后经上例同样的操作，故障排除，机床恢复正常。
分析本机床造成损坏的原因，可能是该加工中心处于湿度较大的地区，CNC系统电柜内部很多地方已经锈蚀，机床又未能经常、及时进行去除潮湿处理，从而引起了主板、存储器板的损坏。",,,,,,,
"例78.OTD显示出现乱码的故障维修
","故障现象：某配套FANUCOTD的数控车床（二手设备），在强电线路维修完成，更换电池单元电池，系统电源正常后，开机显示器显示乱码。
","分析及处理过程由于本机床为二手设备，机床已经长常时间没有使用，维修时电池单元电池已经完全失效，估计系统内部RAM数据己经出错。因此，必须对系统RAM进行初始化处理。
同时按住系统操作面板的“DELETE”与“RESET”键，接通系统电源，对系统的参数、用户程序存储器进行总清，系统显示报警页面。继续操作系统面板上的其他功能键，系统页面显示恢复正常。",,,,,,,
"例79.OMC系统ALM911报警的维修
","故障现象：某配套FANUCOC的加工中心，系统电源接通后，显示器系统报警
ALM911，显示页面不能正常转换。
","分析及处理过程FANUCO系列系统出现ALM911报警的原因是系统RAM出现奇偶校验错误，这一报警多发生于系统电池失效或不正确的更换电池之后，但偶尔也有因电池的安装不良，外部干扰，电池单元连线的碰壳、连接的脱落等偶然因数影响RAM数据。
在本例中，由于机床故障前曾经对机床其他电器进行过维修，估计偶然因数影响系统内部RAM数据出错的可能性较大。
同时按住系统操作面板的“DELETE”与“RESET”键，接通系统电源，对系统RAM进行初始化处理后，重新输入参数与程序，机床恢复正常。",,,,,,,
"例80.OTD系统ALM930报警的维修
","故障现象：ALM930为系统存储器ROM报警。某配套FANUCOTD的数控车床（二手设备），系统电源接通后，显示器显示ALM930，系统CPU报警灯L1、L2亮，显示页面不能转换。
","分析及处理过程由于本机床为二手旧设备，机床在原使用单位故障后，已经闲置多时，并经过多次维修与转手。根据机床其他部位情况检查，零、部件缺损较多，系统中电源单元的熔断器等部件都已经遗失，电池单元电池己经被取走，因此，估计系统内部元器件亦有缺损。
考虑到系统报警ALM930与系统存储器卡有关，维修时对存储器板进行了检查，发

现系统内部控制程序ROM已经全部被取走。根据系统的主板与存储器板的型号，重新配置系统ROM后，系统显示恢复正常。",,,,,,,
"例81.OTD系统ALM998报警的维修
","故障现象：某配套FANUCOTD的数控车床（二手设备），系统电源接通后，显示器显示ALM998，系统CPU报警灯L1、L2亮，显示页面不能转换。
","分析及处理过程系统报警ALM998为系统ROM奇偶校验错误报警，该报警可以提示ROM的出错部位。
在本例中，报警的提示为：ROMNO：OB1，表示系统ROMOB1奇偶校验错误。考虑到本机床为二手旧设备，机床已经闲置多时，并经过多次转手，估计系统内部元器件有缺损。维修时对存储器板进行了检查，发现系统内部ROM已经被取走。
重新配置系统ROMOB1后，系统显示恢复正常。
2.SIEMENS系统软件出错故障维修4例",,,,,,,
"例82.810无显示、面板指示灯同时亮的故障维修
","故障现象：某配套SIEMENS810M的加工中心，系统电源接通后，显示器无显示，面板上的“报警”、“未到位”、“进给保持”、“循环运行”指示灯同时亮。
","分析及处理过程810M系统面板上的“报警”、“未到位”、“进给保持”、“循环运行”指示灯同时亮，代表系统自检出错，系统无法正常启动。其原因可能是系统CPU板或系统软件出错。
为了判别故障原因，可以对系统进行初始化处理。按住系统面板上的诊断键（有“眼睛”标记的键），接通电源起动系统；在系统起动时，面板上方的4个指示灯闪烁；然后系统显示初始化页面：结束系统初始化后，机床恢复正常。",,,,,,,
"例83.880M无显示、面板错误指示灯亮的故障维修
","故障现象：某配套SIEMENS880M的加工中心，系统工作时，显示器无显示，面板上的“？”指示灯亮：关机后再次起动，系统无显示，面板上的“？”指示灯亮。
",分析及处理过程880M系统面板上的“？”指示灯亮，表明系统存在报警，但检查系统硬件无故障。从,"故障现象分析，原因应属于软件出错，但由于系统无显示，无法判别故障原因。此类故障的解决一般可以通过对系统进行初始化处理排除。
根据880使用说明书，对系统进行初始化处理，经系统初始化后，机床恢复正常。例84.880M无显示、面板指示灯亮循环跳动的故障维修
","故障现象：某配套SIEMENS880M的加工中心，开机后面板上的“报警”、“未到位”、“进给保持”、“循环运行”指示灯循环跳动，显示器无显示。
","分析及处理过程SIEMENS880M的加工中心，开机后面板上的“报警”、“未到位”、“进给保持”、“循环运行”指示灯循环跳动，代表系统自检出错，系统无法正常启动，其原

因可能是系统CPU板或系统软件出错。此类故障的解决一般可以通过对系统进行初始化处理排除。
在本机床上，通过对系统进行初始化处理，并格式化用户存储器（USERMEMORYCLEAR）后，机床恢复正常。",,,,
"例85.PRIMO–S显示乱码的故障维修
","故障现象：配套SIEMENSPRIMO–S的数控滚齿机，开机后系统显示（数码管）混乱，机床无法正常开机。
","分析及处理过程：SIEMENSPRIMO–S的数控系统是SIEMENS公司早期生产的经济型系统，系统结构非常简单，可以控制3轴，系统CPU为Intel8085。
检查系统硬件无故障，根据","故障现象分析，原因应属于软件出错。根据SIMENSPAIMO–S说明书，按住M键，同时接通数控系统电源，系统恢复正常显示，检查发现系统内部参数混乱。重新输入参数后，系统恢复正常。
维修体会与维修要点：
1）在FANUC系统中，系统无显示的软件方面原因，一般以存储器出错居多；此类故障，通过按住系统操作面板的“DELETE”与“RESET”键，同时接通系统电源的初始化操作，对系统的参数、用户程序存储器进行总清后，系统显示可以恢复正常。
但是，由于存储器的初始化，将使系统的参数、加工程序等内容全部清除。因此，在机床正常加工时，必须事先做好加工程序、参数等RAM数据的记录工作，便于维修时的机床恢复。
2）在SIEMENS810系统中，情况与FANUC系统类似，当软件出错时，也需要进行初始化操作，但可以保留RAM数据。为了防止在初始化操作过程中，对系统的参数、用户程序存储器可能进行的总清，初始化操作应按照以下步骤进行：
€按住系统面板上的诊断键（有“眼睛”标记的键），同时接通系统电源，系统显示初始化页面。
""按下系统功能键“INITIALCLEAR”，选择初始化操作。
€系统显示初始化内容选择页面。注意：这时切不要选择其中的任何一项内容！否则，对应的选择内容将被清除！
$按下系统功能键“SETUPENDP＝”，进行系统初始化操作。
%系统在完成初始化操作后，恢复正常工作状态。
4.3.2系统硬件故障维修10例

1.FANUC系统硬件故障维修4例",,,,,,
"例86.7T系统只能输入少量程序段的故障维修

","故障现象：一台采用FANUC7T系统的数控立车，在输入较短的程序，如10个程序段时，系统能正常工作；但输入的程序大于30个程序段时，系统则出现T08000001报警。
","分析及处理过程FS7系统的T08000001报警，为系统存储器的奇偶出错报警。由于它出现在输入加工程序时发生，所以初步判定故障原因在MEM板（即04GN71号板）上。
FANUC7系统的RAM由17片HM43152P芯片组成，通过对它们进行诊断，发现第一组和第二组的诊断数据在第10位上出现错误，说明第10位RAM芯片故障（该芯片位于MEM板的A36位置上）。更换后，故障排除，机床恢复正常。",,,,,,,
"例87.7T系统部分键不能输入的故障维修
","故障现象：一台采用FANUC7T系统的数控车床，在输入加工程序时发现一旦输入
Fxxxx时，系统就显示输入无效。
","分析及处理过程FANUC7CT数控系统的MDI/DPL面板由键盘驱动电路、显示器及显示译码电路等部分组成。所有键盘上的按键均通过74LS07驱动器接到地址总线上，其中F、S、T、M、Q、M这6个字母键用同一芯片。
进一步检查发现按这6个键中任一键，都无输入显示，对该芯片外加+5V电源进行逻辑关系测试，结果发现该芯片损坏；更换芯片，故障排除。",,,,,,,
"例88.10T主权出现报警“B”的故障维修
","故障现象：一台车床，配置FANUC10T系统，CRT无显示，主板上报警指示“B”，系统“AATCHDOG”灯亮。
",分析及处理过程经检查，并通过互换处理确认，本机床的故障原因是主板存在故障。经更换主板（A16B–1010–0041），并对系统进行初始化处理，重新输入NC参数、PC参数后，机床即恢复正常工作。,,,,,,,
"例89.6M系统ALM086报警的维修
","故障现象：某采用FANUC6M系统的卧式加工中心，当系统与计算机通过RS232口通信时，发生ALM086号报警（传送异常或!/O设备异常）、ALM085报警（读入数据的位数不对或波特率不对），以及传送的程序发生程序段丢失现象，且无规律性。
","分析及处理过程根据085、086号报警信息，首先检查了计算机和数控设备的通信配置，但未发现问题。然后检查了计算机和数控设备的输入、输出接口，发现接口亦正常，从而排除了设备故障的可能；检查QHCAM–APT通信软件，它在其他机床上工作正常，因此也不应存在问题。由此初步认为故障应在连接电缆上。
通过检查通信电缆，发现电缆存在短路现象，打开RS232通信插头，检查发现插头连接不良；重新焊好后，故障消除。
2.SIEMENS系统硬件故障维修6例",,,,,,,
"例90.PRIMO–S系统CPU故障维修
","故障现象：配套SIEMENSPRIMO–S的数控滚齿机，开机后系统无显示（数码管），机床无法正常开机。
","分析及处理过程：经检查，系统的电源输入正常，由于系统无任何显示，无法进行
CNC检查。
由于系统结构简单，打开系统后检测，发现系统CPU没有正常工作。考虑到系统简单，且CPU为通用型号，直接拆除CPU，而且为了方便今后维修，对CPU安装了插座。更换CPU后，数码管显示恢复正常，重新输入参数后，系统恢复正常。",,,,,,,
"例91.PRIMO–S系统电池故障维修
","故障现象：配套SIEMENSPRIMO–S的数控滚齿机，开机后系统显示（数码管）混乱，机床无法正常开机。
","分析及处理过程：根据SIEMENSPRIMO–S说明书，按住M键，同时接通数控系统电源，发现系统参数混乱；重新输入参数后，系统进行正常显示，机床恢复正常工作。
但在本例中经关机后，故障又重新出现，由此判断故障原因是系统的RAM无法记忆，测量系统电池发现只有0.5V左右，已经完全失效。
重新更换电池后，系统恢复正常。例92.PRIMO–S系统RAM故障维修
","故障现象：配套SIEMENSPRIMO–S的数控滚齿机，开机后系统显示（数码管）混乱，机床无法正常开机。
","分析及处理过程：根据SIEMENSPRIMO–S说明书，按住M键，同时接通数控系统电源，发现系统参数混乱。重新输入参数时，发现面板输人的参数无法进入CNC记忆，系统参数无法恢复。
由于系统的电池已经更换，并经再次测量，系统的电池正常，由此初步判定故障原因在系统存储器上。打开系统、直接拆除系统存储器，并安装了插座。更换存储器后，数码管显示恢复正常；重新输入参数后，系统恢复正常。",,,,,
"例93.SM系统CPU模块!/C、S报警灯亮的故障维修
","故障现象：配套SIEMENS8M的进口加工中心，开机后系统无显示，机床无法正常开
机。
","分析及处理过程：检查系统各控制模块的状态指示灯，发现NC–CPU模块（MS100）
上的!/C与S报警灯亮，操作面板上的“FAULT”指示灯亮，表明系统硬件故障。
SIEMENS8M系统NC–CPU模块（MS100）上的!/C与S报警灯亮，通常与系统的位置测量模块（MS250）有关。维修时，通过互换法确认了以上判断。
取下该模块检查发现，其中的集成电路D186（74LS245）不良，更换同型号的集成电

路后，系统恢复正常工作。",,,,,,,
"例94.802D系统PROFIBUS连接出错的故障维修
","故障现象：配套SIEMENS802D系统的数控铣床，开机时出现报警：ALM380500、
400015、400000、025201、026102、025202；驱动器显示报警号ALM599。
","分析及处理过程：根据系统诊断说明书，检查以上报警的内容如下：ALM380500：PROROnBUSDP驱动器连接出错；ALM400015：PROFIBUSDP!/O连接出错；
ALM400000：PLC停止；
ALM025201：驱动器1出错；
ALM025202：驱动器1出错，通信无法进行；
ALM026102：驱动器不能更新；
伺服驱动器ALM599：802D与驱动器之间的循环数据转换中断。
鉴于本机床的系统报警众多，维修时必须分清主次，否则维修工作将难以开展。根据以上报警内容与发生故障时的现象观察，首先进行了如下分析：
€开机时，伺服驱动器可以显示“RUN”，表明伺服驱动系统可以通过自诊断，驱动器的硬件应无故障。
#系统初始化完成后，驱动器“使能”信号尚未输出，系统就出现报警；并且，驱动器亦随之报警。
根据以上两点，可以暂时排除伺服驱动器的原因，而且由于伺服驱动的使能信号尚未加入，从而排除了由于电动机励磁产生的干扰，由此判定故障是由系统引起的。
€系统报警ALM400015（PROFIBUSDPI/O连接出错）与ALM400000（PLC停止）分
析，ALM40001（5PROFIBUSDPI/O连接出错）属于硬件故障报警，如果系统的I/O单元工
作正常，即使是ALM40000（0PLC停止），一般也不会引起系统产生硬件报警。
综合以上分析，报警的检查应重点针对I/O单元（PP72/48）进行。
经检查，该机床的I/O单元（PP72/48）指示灯“PO>ER”不亮，表明I/O单元无DC24V。测量外部供电DC24V正常，I/O单元内部全部熔断器都正常，由此初步判定故障原因在DC24V的输入回路或外部DC24V与I/O单元的连接上。
进一步检查I/O单元与外部24V的连接，发现I/O单元电源连接端子的接触不良，重新连接后，I/O单元的“PO>ER”、“READY”指示灯亮，系统报警消失，机床恢复正常工作。",,,,,,,
