questions,answers
"技术保养和操作因囊对故障率有何影响？",机械设备在使用过程中，由于零件的磨损和变形都可能造成相互之间的某种失调；润滑剂会逐渐脏污、变质；某些螺栓联接可能出现松动等。这些情况的出现和发展，都将加速机械设备的损坏，导致故障率的提高。技术保养工作的任务，就是对这些现象预防和出现以后进行及时排除。在机械保养工作中，由于不严格遵守操作技术要求，如操作不当，调整工作没有达到技术要求，使用不合格的润滑剂和液压油，或机械不清洁等，常常是导致机械加速损坏的原因。此外，工人的操作技术水平也直接影响着机械的使用寿命。技术保养和使用操作因素属千主观因素。建立合理的保养维修制度，严格执行技术保养和使用操作规程，是保证机械设备工作可靠和提高其使用寿命的重要途径口对于机械设备的保养和使用操作因素的影响，可以用机械设备的可靠度乘一个概率函数的方法来估算。也相当于对基本失效率乘一个入于1的修正系数。
什么叫机械的维修性？什么叫机械的维修时间？,对于可修产品，在发生故障之后．一般可用维修方法进行修复，这样便可弥补产品可靠性的不足。但维修需要占用一定时间，因而影响了产品的使用。因此，为了充分发挥产品的效能，当其发生故障以后，要求所需的维修时间越短越好。就机械产品而言，它的修复时间与其本身的结构有关，是由设计、制造等因素所决定，是一种固有的属性，它表示机械维修的难易程度，而被称之为机械的维修性。机械的维修时间是指在机械发生故障后，从寻找故障开始，直至拆卸、修理或更换零件、安装、调试，最后达到完全恢复正常功能为止的全部时间。其平均值可以根据统计公式求出。
维修性结构设计如何考虑拆装的顺利性？,在机械修理中，拆装工作占有很大的工作量，提供拆装操作的便利条件，即可提高工作效率，维修性结构设计通常从如下几个方面考虑拆装的顺利性：I)有适合操作者进行操作和工具活动的空间。2)采取便于装配的整体式安装单元。3)采取可拆卸联接，如螺纹联接、销联接、键联接等。4)采取便于拆装的密封措施，如液态密封胶、可剥离密封胶等。5)设置定位装置和识别标志，如定位销、不通孔、键、刻线和其它记号等，以保证装配的相互位置的正确和便于操作。6)设计和配置专用的拆装工具。
维修性结构设计如何考虑简化修理作业？,机械产品进行维修性结构设计时，为简化修理作业可从以下几个方面考虑：l)减少产品维修的复杂性，使结构尽可能简化，特别应注意减少需要维修的项目和采取提高易损零件寿命的措施，以减少修理的次数。2)提高零件的互换性。对于易损零件采取换件修理法，可以缩短机械的修理时间，为此首先要求结构上适于更换，同时应注意尽可能采用标准化和通用化等互换性较高的零件。3)采取可调整结构。零件在工作过程中由千磨损而造成间隙超差时，需要配置合适的调整装置。
"如何进行维修周期设计？",维修周期设计的指导思想是基于机械的大量零件中，有许多是寿命相同或相近的，为了在一次维修中将有关寿命相近的零件同时进行修理，以减少维修的次数和重复的拆装工作，从而提高机械的有效度。机械的各种零件由于结构、工作性质和受力情况的不同，因而失效率和使用寿命也不同。综合制造和使用等因素，在一定技术条件下，每个零件都有一个相对合理的使用寿命，这样便可通过统计和计算将零件寿命进行分类。根据零件寿命分类结果，确定维修间隔周期，再把维修划分为一级保养、一级保养、三级保养和大修等类型。必要时还可通过等寿命设计来平衡零件寿命。
"维修技术保障设计包括哪些内容？",机械的维修技术保障设计主要是指维修技术文件的编制，通常可称为软件设计。它主要包括如下内容：(1)编写使用说明书机械使用说明书是机械使用维护的指导性文件。它应该详细说明机械的使用条件、使用方法，特别是润滑、调试、保养等内容。(2)编制维修技术指南和维修技术标准维修性是有条件的，只有桉机械本身特点采取最合理的修理工艺和方法才能取得最好的效果，维修技术指南则必须提供这方面的指导。维修技术标准则是为保证维修质量提供的依据，如配合间隙和位置精度的标准、某些组件的试验规范等。(3)制定维修备件储备指标这需要根据零件的不同使用寿命制定，如某些易损零件应随机配备；高等级保养或大修中需要更换的零件，维修仓库应有一定的储备。这些都需要根据消耗的概率制定出恰当的指标，使得当机械需要修理时，备件能及时得以供应，而同时又不致造成不必要的物质积压。
"什么叫磨损？机械零件常见的磨损类型有哪些？",零件由于摩擦的结果而导致其表面物质不断损失的现象即为磨损。零件的磨损过程由于随摩擦形式、环境条件和表面接触状况的不同而有很大区别。按其表面物质损失的不同机理分为：粘着磨损、磨料磨损、表面疲劳磨损、腐蚀磨损等。
"确定磨损极限的依据是什么？",确定磨损极限的依据可参考下列情况：1)配合件的工作条件急剧恶化，由于磨损而使间隙增大，导致液体润滑的丧失。因此对应于液体润滑丧失的间隙，即是磨损极限的指标之一。2)工作能力严重衰减或丧失。由于磨损，各种机械的润滑系统和液压系统的兀件出现内部泄漏，引起压力降低、流董减小，当经过调整后仍达不到规定的指标；机床零件的磨损，引起振动增大，使机床精度降低，从而使产品质量达不到规定的要求等等。所有这些都标志着它的应有能力的丧失，因而也是确定磨损极限的依据。3)由于零件磨损的结果，往往带来不良的经济后果。当这种情况发展到其产值低于或接近成本时，就不宜再使用。即以不经济为前提作为确定磨损极限的依据之一。
零件变形会产生哪些危害？,机械设备由于工作条件的恶劣，经常满载或超负荷工作，一些零部件或构件产牛变形是比较常见的。有些零件（如曲轴、丝杠、连杆等）由于其形状简单，变形产生的危害比较直观，变形的检查和矫正也比较简单，因此在修理中容易被歌视。但像某些基础零件（如机床变速箱、溜板箱、车床导轨等）及传动部分等，其形状复杂，相互位置的精度、运动精度等要求较高，但测量检查及变形的校正均较困难。因此在修理中，对这类零件的变形问题应引起足够的重视。机床主轴变速箱中，主轴承座孔的变形使得同轴度及圆度超过其公差要求时，可能使传动轴在轴瓦中挠曲，加速轴的磨损；变速箱及溜板箱的变形，破坏传动齿轮的正常啃合，造成齿而偏磨，产生较大的轴向分力，加速齿轮的磨损；光杠、丝杠的变形影响传动精度造成零件加工误差过大等现象发生。
什么叫断裂？什么叫断口？,金属零件的完全破断称为断裂。它是金属材料在不同的情况下，当局部破断（裂缝）发展到临界裂纹尺寸时，剩余截面所承载的外载荷即因超过其强度极限而导致完全破裂。断裂是零件使用过程中一种最危险和无法挽救的破坏形式，是造成机械事故的重要原因。断口是指零件断裂后的自然表面。它是断裂原因分析的主要对象和断裂形态分类的主要依据。
什么是零件断口分析？其目的是什么？,断口分析是研究金属断面的科学。它是从断口的宏观和微观形态、原材料的化学成分、显微结构、冶金缺陷、力学性能及零件的制造工艺、表面质量、几何形状及使用条件等多方面进行分析、推断破坏的原因，并提出改进措施。断口分析的目的：l)判断断裂的性质和类型，分析、找出破坏的原因。2)研究断裂的机理。3)提出防止断裂事故的措施。
设备修理的质量管理指的是什么？其目的和意义是什么？,设备修理的质量管理是指为了保证设备修理后达到规定的质扯标准，组织和协调企业有关部门和职工，采取技术、经济和组织措施，全面控制影响设备修理质量的各种因素所进行的一系列管理工作。设备修理的质扯管理是企业全面质量管理的重要组成部分，其目的在于保证和不断提高设备修理质量。
设备修理质量管理工作的主要内容包括哪些方面？,设备修理质量管理工作的内容主要包括以下几个方面：1)制定设备修理的质量标准和为了达到质扯标准所采取的工艺技术措施。制定质扯标准时，既要充分考虑技术上的必要性，又要考虑经济上的合理性。2)设备修理质量的检验和评定工作是保证设备修理后达到规定标准并且具有较好可靠性的重要环节。因此，企业必须建立设备修理质量检验组织，按图样、工艺及技术标准，对自制和外购备件、修理和装配质量、修后精度和性能进行严格检验，并做好记录和质量评定工作。3)加强修理过程中的质量管理，如：认真贯彻工艺规程，对关键工序建立质量控制点和开展群众性的质量管理小组活动。4)开展用户服务和质量信息反馈工作，统计分析，找出差距，拟定进一步提高设备修理的目标和措施。5)加强技术业务培训，不断提高修理技术水平和管理水平。
设备修理质量标准是什么？制定设备大修理质量标准的原则有哪些？,设备修理质量标准，是衡量设备整机技术状态的标准，包括修后应达到的设备精度、性能指标、外观质董及环境保护等方面的技术要求。它是检验和评定设备修理质董的主要依据。制定设备大修理质量标准的原则如下：I)以出厂标准为基础。2)修后的设备性能和精度应满足产品工艺要求，并有足够的精度储备。如产品工艺不需要设备原有的某项性能或精度，可以不列入修理标准或修后免检；如设备原有的某项性能或精度不能满足产品工艺要求或精度储备不足，在确认可通过采取技术措施（如局部改装、采取提高精度、修理工艺等）解决的情况下，可在修理质董标准中提高性能和精度指标。3)对有些磨损严重、已难以修复到出厂精度标准的机床设备，如由于某种原因需大修时，可按出厂标准适当降低精度，但仍应满足修后加工产品和工艺要求。4)达到环境保护法和劳动安全法的规定要求。
设备大修理质量标准有哪些内容？,设备大修理质量标准有如下内容：(I)外观质置要求基本内容如下：I)对设备外表面和外露零件的整齐、防锈、美观的技术要求。2)对涂装的技术要求。3)对各种表牌、标志牌的技术要求。(2)空运转试验设备空运转试验规程的主要内容有：I)对各种空运转试验的程序，以及试验速度和持续时间的规定。2)两种（及两种以上）运动同时空运转试验的规定。3)空运转试验中应检查的内容和应达到的技术要求。检查内容主要包括：各种运动的平稳性、振动、噪声、轴承的混升；电气，液压（气压）、润滑、冷却系统的工作状况；操作机构动作的准确性和灵敏性；制动、限位、联锁装置的灵敏性及准确性；过载保护、安全防护装置的可靠性以及各种信号指示灯和仪表的正确显示等。(3)负荷试验设备负荷试验规程的主要内容有：l)试验内容和应达到的技术要求，如金属切削机床的最大切削负荷试验；重型机床最大静负荷试验；起重设备的静、动负荷试验；冲压设备的最大压力试验等。2)试验程序及规范。3)试验时及试验后应检测的数据等。(4)几何精度标准几何精度标准是衡量设备静态精度的标准，包括以下内容：I)检验项目主要有：安装精度、基准件相互位置精度、部件的运动精度及位置精度、各种运动的相关精度等。2)各项检验项目的检验方法。3)各项检验项目的允许误差。(5)工作精度标准是用来代替衡量机床动态精度的标准。其主要内容有：I)工件的材料、形状、尺寸及加工后应达到的精度。2)加工工艺规程，包括工件装夹方式，采用的刀具及切削用量的规定。对千专用机床，应按企业规定的产品零件及其加工工艺规程进行工作精度检验。对于通用机床，可选择企业经常加工的典型零件作为试件或按出厂标准的规定进行，
修理质量检验的主要内容有哪些？,设备修理质量检验工作，是保证设备修理后达到规定质量标准，尽量减少返工修理的重要环节之一。检验是根据修跸工艺规程和质量标准，采用测量、试验等方法将修理后设备的质量特点与规定要求进行比较和作出判断的过程。修理质量检验的主要内容有：I)自制备件和修复零件的工序质量检验和终检。2)外购材料的入库检验。3)设备的定期精度检验。4)修理过程中，零部件和装配质量的检验。5)修理后的外观、试车、精度及性能的检验。
设备修理质量保证体系一般包括哪些要素？,"按照全面质量管理的观点，必须建立质量体系。质量体系是为了保证产品、过程或服务达到质量要求，把组织机构、职责和权限、工作方法和程序、技术力量和业务活动、资金、资源、信息等协调统一起来，形成的一个有机整体。按照GB,'1'6583-94《质量管理和质量保证术语》的规定，为生产符合市场需要的产品，企中内部的质量体系称为质量管理体系。为生产符合合同要求的产品，满足用户或第三方监督审核和认证工作的要求，企业对外确定的质量体系称为质量保证体系，质量保证体系包括企业内部的质量管理体系。设备修理质量保证体系一般应包括以下要素：1)质量方针和目标。2)质量体系各级的职责和权限。3)企业设备修理计划和对外承修的合同。4)设备修理的工作流程（从制定计划到交工验收）及工作标准。5)修理技术文件（包括质量标准）的制定与审核。6)物质采购程序。7)检测仪器、量具的控制。8)修理过程的质量控制。9)不合格品的控制。10)工序及修理完工的整机检验与试验。11)合同、计划、技术文件的更改控制。12)认证的申请与执行，13)质量记录及提供质量文件的程序。14)竣工验收程序及文件。15)竣工验收后的用户服务。包括设备修理竣工验收后，为用户消除修理质量缺陷、排除故障、供应配件及提供技术咨询等活动。16)质量成本的控制。17)质量信息的收集、加工和分析。18)培训等。"
设备修理采用集中模式有何特点？,集中模式主要特点是集中企业维修资濒，成立企业专业修理车间（包括机修和电修），负责整个企业的设备维修工作。其优点是：l)能合理使用维修资源。2)便于有计划地组织备品备件的制造和供应。3)有利于保证检修质量和提高工效，集中化程度越高，资源（尤其人力资源）的利用率也越高。4)有利于推行设备维修经济承包责仔制。5)易于控制设备修理经费L其缺点是反应慢，处理设备临时故障不够方便。一般来说，集中化程度越高，反应速度越慢，不利于调动车间参加设备维修的积极性，有可能造成生产与设备修理的矛盾或脱节。选择集中模式的企业，其设备维修作业计划要制定得很周密。这只有设备数量不多，生产规模较小或车间比较集中的企业才易于做到。
设备修理采用分散模式有何特点？,设备修理采用分散模式，其特点是将设备维修工作分散到各车间，在车间内成立设备维修工段或维修组，负责完成本车间的主要或全部维修工作。采用分散模式，维修工接近现场，情况掌握及时，反应快；组织修理工作方便、灵活；有利于发挥车间的主动性和积极性，生产与设备检修，设备使用与设备维护紧密结合。但是，分散模式不利于实现维修人员专业修理和采用高效率的修理技术装备；难以保证修理工作高质量，修理任务不易均衡，维修人员闲忙不一，使维修资源得不到充分利用；维修费用也难以控制。分散模式一般适用于生产规模大，车间比较分散的大型联合企业。
设备修理采用混合模式有何特点？,把集中和分散两种维修组织模式结合起来，构成既有集中，又有分散的检修组织模式，称为混合模式。其特点是企业设有专业化的修理车间，负责企业大、中型或重要设备的维修工作；同时，各车间也设置由专业维修人员组成的维修工段或维修组，负责各自车间全部或部分主要设备的维修工作。这种模式避免了集中模式和分散模式的缺点，发扬了它们的优点。
"设备修琨的规范程序有哪些？",设备修理的规范，主要是指企业设备维修系统中，各机构维修专业人员的定员问题。通常确定设备修理规范的程序如下：l)根据工作量总体模型，掌握定员单位工作量的变动情况以及峰值工作量。2)制定各工种的设备修理劳动童定额（确定工作量定额的方法很多，如采用设备修理复杂系数法等）。3)估计停机损失和设备修理劳务费用，停机损失主要包括故障停机时间内造成的产品损失和作业人员以及机器停歇等超额支出损失。劳务费用，主要指人员增加引起的常年工资、福利费用等支出。4)在停机损失和劳务费用损失之间作适当的平衡，以确定合理的维修人员规模。通常设备停机损失是考虑的主要因素，当停机损失过大时，也许不得不使定员偏高一些。5)人员规模确定后，实施中应经常对设备维修工作的有关参数，如紧急修理反应时间，人均修理产值、人员利用效率等进行统计和分析，适时调整维修系统结构、维修人员规模和维修计划。
计算机在辅助修理管理与控制方面的应用有什么意义？,计算机在辅助修理管理与控制方面应用具有如下意义：I)提高设备的出勤率。2)充分发挥维修人员的工作效率，节省人力资源。3)随时对作业进行控制，以求达到最优的结果。4)缩短维修工期，提高维修质量。5)增强了职工的经营观点和工作认真负责的态度。6)提高图样、资料保存和查阅效率。7)减少库存。8)实现控制与管理维修一体化，状态监测技术在设备中应用越来越广。9)节省费用。
设备维修技术管理的任务是什么？,设备维修技术管理是提高设备维修技术和设备经济效益的重要保证。其主要任务是：l)采用最适宜的维修技术，努力应用新技术、新工艺、新材料，提高维修水平和工作效率。2)制定合理可行的技术方案，确保设备维修和改进工作质量，缩短停修时间，降低维修费用。3)制定各种维修技术标准和规范，积累设备技术资料，建立设备维修技术档案。4)为设备的技术改造及新设备的选型提供可行性分析方案。
"设备维修技术管理的基本工作包括哪些内容？",设备维修技术管理的基本工作内容如下：(I)技术资料的管理技术资料的内容包括：设备说明书、设备易损件图册、设备制造图册、修理工艺资料、修理工艺装备图样资料、设备改造有关资料、设备维修技术信息等。所有的技术资料均应分类编号，建立账册卡片，并由技术资料室统一管理。技术资料室应建寸技术资料借阅、查阅的管理办法。使这些资料能在设备维修T作中发挥其应有的作用。(2)修理图册的编制设备修理图册（含表格）是设备维修专用技术资料的汇编，它包括：1)设备主要特性示意图，传动路线示意图，轴承位置图，电气、液庄、润滑系统图等。2)整机、部件、组件装配图。3)备件、易损件图样。4)标准件明细表，外购件明细表。5)有色金属、复合材料及代用品明细表。(3)工艺规程和技术条件主要内容有：l)修理工艺规程，包括整机、部件和组件的拆卸、装配工艺和修复工艺，零件修理工艺，工艺装置和非标准设备的明细表和图样等。2)配件制造的工艺规程，包括工艺装置的明细表和图样等。3)各种技术条件，包括零件分解鉴定技术条件等，装配技术条件以及试验技术条件等。维修的技术管理工作，除了上面介绍的内容以外，还有零件修复及合理选择代用零件以及新技术、新工艺的推广应用等项工作。
何谓设备维修经济管琨？其内容包括哪些？,所谓设备维修经济管理，主要是对设备的维修费用及各种影响因素进行控制。设备维修技术经济管理的内容包括：维修经济管理的标准、维修定额、维修费用的统计、核算和分析等。
设备维修费用的核算包括哪些方面？,设备维修费包括日常维修费（含维护、检查、诊断、日常整修、故障和事故处理及清洗换油等费用）、项修费和大修费等项。(I)日常维修费包括材料费和劳务费两大项。I)材料费包括：配件和备件费、燃油料费、辅助材料费等。2)劳务费包括：维修工人工资、协作加工费等。以上各种费用应逐项统计，逐月上报。(2)人修费包括材料费、劳务费、动力费、车间经费等。I)材料费，包括：各种材料、配件、备件费。2)劳务费，包括：修理单位人员工资、协作加工费等。3)动力费，包括：水、电、压缩空气和蒸汽等能源消耗费。4)车间经费，包括：办公费、差旅费、运输费、劳保费、工具费、设备折旧费、贷款利息、税金、低值易损品摊销费等。以上各项费用均应按修理任务单号分别由材料领用单、工时记录、劳务支出费等项原始单据进行统计核算，企业设备管理部门每月应根据各基层单位报送的原始资料进行汇总，对全企业的设备维修情况，包括维修计划完成情况，万元固定资产产值、万元产值维修费、故障停机率，设备完好率等进行综合评价。设备维修费用应尽量按单台单项统计与核算。维修费用的统计核算应以主要消耗定额为依据，要经常对构成实际成本的各项费用进行分析，找出降低成本的主要有效途径。
进行维修系统效果评定的目的是什么？,维修系统效果评定，是设备维修管理中不可缺少的一环。它是在具体目标指导下，对维修系统的各项活动进行考核，从而将这些活动推向更高水平的重要阶段。进行维修系统效果评定的主要目的如下：I)对各项维修活动效果作出评价，检验为实现设备管理目标而制定并执行的措施。2)发现维修管理中的缺陷，及时采取更富有成效的措施。3)提高各类维修人员的积极性。其最终目标是提高企业的经济效益。
提高设备维修经济效益的主要途径有哪些？,提高设备维修经济效益的主要途择如下·I)从设备寿命周期费用最经济的角度出发，购置节能性、可靠性、维修性好的新设备，不要只注意一次性投资的大小，而要综合考虑设备运转过程中各项费用的支出。2)要告诫设备的操作者，在设备的使用过程中，要正确操作，精心维护保养，避免非正常的磨损和损坏。3)实施科学的维修管理，选定最适宜的维修方式及相应的技术措施，使维修效果最佳化。4)运用状态监测及故障诊断技术，早期发现故障，适时进行维修。5)合理选择修理方法，努力运用新技术、新工艺、新材料进行改善性修复，延长零件使用寿命，提高修理工效，减少停机损失。6)积极、慎重地对设备进行改造，提高设备的可靠性和维修性。7)加强设备维修费用管理，包括：加强劳动管理、工时管理、材料和备件管理，节约能耗，健全财务制度，健全维修经济责任制和奖惩制度等等。
什么叫设备诊断技术？,诊断技术是指机械设备在不拆卸的情况下，用仪器仪表获取有关输出参数和信息，井据此判断机械技术状况的技术手段。在机械中，通过诊断手段所获取的各种信息，都是机械的一定技术状况的反映。众所周知，机械的故障率是与机械的使用条件有关的，超越一定范围的诊断参数就是机械故障的征兆。随若诊断技术的发展，各种新的诊断设备不断出现．功能日益齐全，使得利用诊断手段来断定机械的技术状况已逐渐成为可能。因此，诊断技术在机械使用、维修中已日益显示出重要作用。实现定期诊断、按需维修巳成为现代修理制度的发展趋势。
什么叫简易诊断？它应具备哪些功能？,简易诊断相当于对人的健康所作的初级诊断。为了能对设备的状态迅速有效地作出概括的评价，它应具备以下功能：l)设备所受应力的趋向控制和异常应力的检测。2)设备劣化，故障的趋向控制和异常检测。3)设备性能效率的趋向控制和异常检测。4)设备的监测与保护。5)指出有问题的设备（发现患者）。简易诊断通常由现场作业人员实施。
什么叫定期诊断和连续监控？,定期诊断是每隔一定时间，对工作的设备进行定期的检测，例如主轴承振动情况的定期检测；而连续监控则是采用仪表和计算机倌息处理系统对机器运行状态进行监视和控制。连续监控用千因故障而造成生产损失重大、事故影响严重以及故障出现频繁和易发生突发故障的设备，也用于因安全和劳保上的原因不能点检的设备。
什么叫直接诊断？什么叫间接诊断？,直接诊断是直接确定关键零部件的状态，如主轴轴承间隙量、齿轮齿而磨损量以及腐蚀环境下的叶片腐蚀状况等。直接诊断往往受到机器结构和工作条件的限制而难以实现，这时就不得不采用间接诊断。间接诊断是通过来自故障源的二次效应，如按振动的信号来间接判断设备中关键件的状态变化。用于诊断的二次效应往往综合了多种信息。
设备诊断常用检查测量技术有哪些？,设备诊断技术常需要测量各种参数，如应力参数；征兆参数；性能和强度参数。因此，首先应当把现有的检查测量技术整理成体系，同时也必须开发新的诊断测量技术。设备诊断常用检查测量技术如下：(!)应力参数的测旨技术应力参数的测量目的是为［掌握故障和劣化原因，并改进设备、消除不正常的应力、延长设备寿命、定量地掌握设备的各种应力。在定量地检测出应力之后，利用诊断技术不仅能检测出应力的大小，而且还必须检测井表示出应力的各种必要成分，如应力的时间分布和应力场分布，对可靠性和寿命进行预测。(2)征兆参数的测量技术在设备诊断中，故障（劣化）征兆参数的测量是最基本的内容。主动机械和静止机械所使用的参数及测量技术有着很大的差别。当为主动机械时．可以利用各种测量技术检测其本身所产生的征兆参数。当为静止机械时，主要用以下三种方法：I)外部刺激法。这种方法利用机械冲击、电脉冲等，从外部施加各种刺激，观测其响应状态。2)外部照射法。这种方法利用放射线和光线，从外部进行照射，观测其反射或通过状态。3)外部和内部涂敷法。在外部或内部涂敷或埋设某些物质，当发生异常之后，这些物质将产生一些已知的变化。
设备诊断常用识别技术有哪些？,所谓识别技术，就是掌握观测到的征兆参数并预测其故障的技术，也就是r解结果并预测原因的技术。设备诊断常用的识别方法有两种：(I)决定论的识别方法该方法深人到被诊断设备的机构原理方面，从理论或试验上，追求每一设备的故障和征兆的关系。这种方法是现今诊断技术的中心，它的基础是掌握每台设备的技术特征勺(2)概率论的识别方法这种方法以概率论为基础，利用过去积累的实验概率，从中去推算目前最可能出现的故障。这种方法可以识别出征兆是由什么原因引起的。
设备诊断常用预测技术有哪些？,所谓预测技术，就是对已被识别出来的故障进行预测，预测该故障今后经过怎样的发展过程，最终进人危险范围，并预测在什么时刻进人危险范围。在确定实际的对策活动时，这些是必然会遇到的问题。预测技术也可以分为两种方法：对策论法和概率论统计法。
润滑油样分析法分几个工作步骤？,润滑油在机器中循环流动，在其工作过程中，各种摩擦副的磨损产物便进人润滑油中，必然携带着机器中零部件运行状态的大量信息。这些信息可提供机器中零件磨损的类型、程度等情况，可预测机器的剩余寿命，从而进行计划性维修。润滑油样分析法具体有：油样光谱分析法、油样铁谱分析法和磁塞检查法等。整个油样分析工作包括：采样、检测、诊断、预测和处理五个步骤。
什么叫磁塞检查法？,磁塞检查法，是早于油样铁谱分析，在飞机、轮船和其它一些部门中长期采用的一种方法。它的基本原理是用带磁性的塞头插入润滑系统中的管道内，收集润滑油样的残渣，用肉限直接观察残渣的大小、数量和形状，判断机器零件的磨损状态。因此，它是一种简便易行的有效的方法，适用于残渣的颗粒尺寸大于50µm的情况。由于在一般情况下，机器零件的磨损后期，均会出现颗粒尺寸较大的磨损残渣，因此，磁塞检查是一种很重要的手段。
"什么叫嗓声检测法？其作用是什么？",机械振动在媒质中的传播过程称为机械波。声音是一种机械波，是物体的机械振动通过弹性媒质向远处传播的结果。发生声音的振动系统称为声源，如机械振动系统是机械噪声的声源，机械振动通过媒质传播而得到声音，即为机械噪声。噪声大小既是反映机械技术状况的一个指标，也是减少环境污染所要控制的一个重要内容。在进行噪声科学研究或实际技术工作时，通常要解决如下问题：I)确定声源所辐射的噪声大小及其性质，或在某些已知条件下，对声源进行预测和估计。2)为了评价噪声对人类的各种影响，确定噪声大小及性质的一些物理董。常用声级（一般用A声级）来代表噪声强弱，其单位为分贝dB(A)。噪声监测中的一项重要内容，就是通过噪声测量和分析来确定机器设备故障的部位和程度。为此，首先必须寻找或估计机器中产生噪声的声源，进而从声源出发，研究其频率组成和各分量的变化情况，从中提取机器运行状况的信息。
零件检验工作的目的和意义是什么？,检验工作是机械修理过程中的重要环节，机械零件通过检验而确定其技术状况和所要采取的工艺措施、以及确定修后的技术质量。因此，检验工作是保证合理修理和修理质量的关键环节。检验工作的根本任务是保证零件的质量，而质量的标准是以合理为原则，即主要满足如下的两个条件：(I)具有可靠的与工作要求相适应的工作性能。(2)具有与其它零件相协调的使用寿命。
