questions,answers
数控铣床的主轴驱动系统和进给驱动系统分别采用什么电动机驱动？,数控铣床的主轴驱动系统和进给驱动系统，分别采用交流、直流主轴电动机和伺服电动机驱动。这两类电动机调速范围大，并可无级调速。
什么是数控铣床进给驱动系统中常用的机械装置，它们有哪些特点？,数控铣床进给驱动系统中常用的机械装置主要有滚珠丝杠副、静压蜗杆—蜗轮机构和预加载荷的双齿轮—齿条机构。这些机械装置具有高寿命、高刚度、无间隙、高灵敏度和低摩擦阻力的特点。
铣床导轨对数控铣床有什么要求？,铣床导轨对数控铣床有很高的要求，包括在高速进给时不振动、低速进给时不爬行、具有很高的灵敏度、能在重载下长期连续工作和耐磨性要高等。
现代数控铣床使用的导轨有哪些类型，与普通铣床的导轨有何不同？,现代数控铣床使用的导轨仍为滑动导轨、滚动导轨和静压导轨三种类型，但在材料和结构上已发生了质的变化，与普通铣床的导轨不同。
1.1 精度包括哪些方面？,机床精度包括几何精度、传动精度、运动精度、定位精度及精度保持性等几个方面。
如何衡量机床的精度等级？,各类机床按精度可分为普通精度级、精密级和高精度级。以上三种精度等级的机床均有相应的精度标准，其允差若以普通级为1，则大致比例为1：0.4：0.25。
什么是几何精度？,几何精度是指机床空载条件下，在不运动（机床主轴不转或工作台不移动等情况下）或运动速度较低时各主要部件的形状、相互位置和相对运动的精确程度，如导轨的直线度、主轴径向跳动及轴向窜动、主轴中心线对滑台移动方向的平行度或垂直度等。
几何精度对机床有何影响？,几何精度直接影响加工工件的精度，是评价机床质量的基本指标。
什么是运动精度？,运动精度是指机床的主要零部件以工作状态的速度运动时的精度。如高速回转主轴的回转精度，对于高速精密的机床，运动精度是评价机床质量的一个重要指标。
传动精度是指什么？,传动精度是指机床传动系统各末端执行件之间相对运动的协调性和准确度。
定位精度是指什么？,定位精度是指机床的定位部件运动到达规定位置的精度。
工作精度是指什么？,机床加工规定的试件所能达到的加工精度，称为机床的工作精度。
什么是精度保持性？,在规定的工作期间内，保持机床所要求的精度，称为精度保持性。
机床刚度指什么？,机床刚度指机床系统抵抗变形的能力。
什么类型的力被称为静载荷，哪些力被称为动载荷？,不随时间变化或变化极为缓慢的力称静载荷，如重力、切削力的静力部分等。凡随时间变化的力，如冲击振动力及切削力的交变部分等称动载荷。
机床刚度可以分为哪两种类型，它们之间的关系是什么？,机床刚度相应地分为静刚度及动刚度，后者是抗振性的一部分。通常所说刚度一般指静刚度。
机床整机刚度是如何定义的，如何衡量？,机床整机刚度不能用某个零部件的刚度评价，而是指整台机床在静载荷作用下，各构件及结合面抵抗变形的综合能力。这个位移的大小代表了机床的整机刚度。
抗振性包含哪些方面，如何定义？,机床抗振性指机床在交变载荷作用下抵抗变形的能力。它包括两个方面，即抵抗受迫振动的能力和抵抗自激振动的能力。前者有时习惯上称为抗振性，后者常称为切削稳定性。
受迫振动的振源可能来自哪里，受迫振动的频率与什么有关？,受迫振动的振源可能来自机床内部，如高速回转零件的不平衡等，也可能来自机床之外。机床受迫振动的频率与振源激振力的频率相同，振幅与激振力大小及机床阻尼比有关。
什么是共振现象，它对机床加工有何影响？,当激振频率与机床的固有频率接近时，机床将呈现“共振”现象，使振幅激增，加工表面的粗糙度也将大大增加。
机床振动的类型有哪些？,机床振动主要有三种类型：共振、自激振动和振动影响因素。
什么是自激振动，它与切削过程有何关系？,机床的自激振动是发生在刀具和工件之间的一种相对振动，它在切削过程中出现，由切削过程和机床结构动态特性之间的相互作用而产生的，其频率与机床系统的固有频率相近。自激振动一旦出现，它的振幅由小到大增加很快。在一般情况下，切削用量增加，切削力越大，自激振动就越剧烈。但切削过程停止，振动立即消失，故自激振动也称为切削稳定性。
振动对机床加工有何影响？,机床振动会降低加工精度、工件表面质量和刀具耐用度，影响生产率并加速机床的损坏，而且会产生噪声，使操作者疲劳等。
什么因素影响机床的刚度？,   答案：构件的材料选择、截面形状、尺寸、肋板分布，接触表面的预紧力、表面粗糙度、加工方法、几何尺寸等。
机床的阻尼特性如何提高？,   答案：提高阻尼是减少振动的有效方法。机床结构的阻尼包括构件材料的内阻尼和部件结合部的阻尼。
结合部阻尼对抗振性有何影响？,   答案：结合部阻尼往往占总阻尼的70％～90％，故在结构设计中要正确处理结合部阻尼对抗振性的影响。
什么是机床系统固有频率？,   答案：若激振频率远离固有频率，将不出现共振。在设计阶段应通过分析计算，预测所设计机床的各阶固有频率。
什么是机床热变形？,   答案：机床在工作时受到内部热源和外部热源的影响，使机床各部分温度发生变化。因不同材料的线胀系数不同，机床各部分的变形不同，导致机床产生热变形。
热变形对机床有何影响？,   答案：热变形不仅会破坏机床的原始几何精度，加快运动件的磨损，甚至会影响正常运转。据统计，由于热变形而使加工工件产生误差最大可占全部误差的70％左右。
什么是热平衡的温度场？,   答案：机床工作时一方面产生热量，另一方面又要向周围散发热量，如果机床热源单位时间产生的热量一定，由于开始时机床的温度较低，与周围环境之间的温差小，散出的热量少，机床温度升高较快，随着机床温度的升高，温差加大，散热增加，所以机床温度的升高将逐渐减慢，当达到某一温度时，单位时间内发热量等于散出的热量，即达到了热平衡。
什么是热平衡时间？,热平衡时间是指达到稳定温度的时间。
温度场是如何形成的？,机床各部分温度不可能相同，热源处最高，离热源越远则温度越低，这就形成了温度场。
如何通过温度场分析机床热源和热变形的影响？,通过温度场可分析机床热源并了解热变形的影响。
在设计机床时应如何减少热源的热量？,一般可采用下列措施减少热源的发热量：将热源置于易散热的位置，增加散热面积，强迫通风冷却，将热源的部分热量移至构件温升较低处，以减小构件的温差，或使机床都件的热变形转向不影响加工精度处，也可设计机床预热、自动温度控制、温度补偿装置及隔热等。
噪声是如何产生的？,物体振动是产生声的源泉。机床工作时各种振动频率不同，振幅也不同，它们将产生不同频率和不同强度的声音，这些声音无规律地组合在一起即成噪声。
声音的度量指标有哪些？,声音的度量指标有客观和主观两种方法。客观度量噪声的物理度量可用声压和声压级，声功率和声功率级、声强和声强级等来表示。
声压和声压级是如何定义的？,声压是指介质中的压力与静压的差值，通常用p表示，其单位是Pa。声压级是指以听阈作为基准声压，用相对量的对数值来表示的声音强度，通常用L (dB)表示。
什么是声压级？声压级的基准声压是多少？,声压级是表征声音强度的物理量，计算公式为Lp = 20lg(2-2) Po。基准声压的值等于2x10-2 Pa，基准声压对应于声压级标准中的0dB，这样就把声压变化范围变成0～120dB的声压级变化范围。
机床噪声的允许噪声是多少？,一般机床允许噪声不大于85dB（A），精密机床不大于75dB（A）。
机床噪声源主要来自哪些方面？,机床噪声源主要来自四个方面，包括机械噪声、液压噪声、电磁噪声和空气动力噪声。
如何减少机床噪声？,减少机床噪声的主要途径是控制噪声的生成和隔声。控制噪声的生成应找出主要的噪声源，并采取降低噪声的措施。
如何降低噪声？,在隔声方面降低噪声主要是根据噪声的吸收和隔离原理，采取隔声措施。例如，齿轮箱严格密封，选用吸声材料作箱体罩壳等。
什么是爬行现象？,爬行是指机床上有些运动部件需要作低速或微小位移时，主动件匀速运动，被动件往往出现明显的速度不均匀的跳跃式运动，即时走时停或者时快时慢的现象。
爬行现象的危害是什么？,机床运动部件产生爬行，会影响工件的加工精度和表面粗糙度。在精密机床和数控机床上，爬行危害极大，是评价机床质量的一个重要指标。
产生爬行现象的主要原因是什么？,产生爬行现象的主要原因是摩擦面上摩擦因数的变化和传动机构的刚度不足。
如何简化直线运动的爬行问题？,将机床直线运动传动系统简化为力学模型，如图2-2所示，其中1为主动件，3为被动件。
进给系统2可以简化为什么？,进给系统2可以简化为等效弹簧k和等效黏性阻尼器C（可合称为复弹簧）。
被动件3在什么上沿直线移动？,被动件3在支承导轨4上沿直线移动。
静摩擦力F如何变化？,摩擦力F随着被动件3的速度变化而变化。
当主动件1以匀速v低速移动时，进给系统2处于什么状态？,进给系统2处于储能状态。
被动件3开始移动的原因是什么？,当驱动力大于静摩擦力FB时，被动件3开始移动。
进给系统2的弹簧力如何变化？,弹簧力则进一步减小，直到小于动摩擦力时，系统处于平衡状态。
被动件3停止运动的原因是什么？,当弹簧力和被动件3的惯性不能克服摩擦力时，被动件3便停止运动。
什么是爬行？,当摩擦面处在边界和混合摩擦状态下，摩擦因数的变化是非线性的，导致时停时走的现象称为爬行。
什么是爬行现象，它在机械运动中如何表现？,爬行是指在机械运动中，机床部件出现时走时停、时快时慢的现象。爬行现象可以通过机床部件位移-时间曲线和速度-时间曲线进行度量。
爬行现象的度量包括哪些方面？,爬行现象的度量包括爬行量、速度波动量和爬行的临界速度。爬行量用机床部件位移-时间曲线表示，速度波动量用机床部件速度-时间曲线表示，爬行的临界速度是指机床运动部件不产生爬行的最低驱动速度。
如何消除爬行现象？,为防止爬行现象，可以通过设计低速运动部件时减少静、动摩擦因数之差、提高传动机构的刚度、提高阻尼比和降低移动件的质量等方法来实现。减少静、动摩擦因数之差的方法包括采用滚动摩擦代替滑动摩擦、采用卸荷导轨或静压导轨等。
卧式数控镗铣床的常用布局形式有哪些？,卧式数控镗铣床的常用布局形式主要包括单立柱和框架结构双立柱两种形式，立柱的结构形式和X、Z坐标轴的移动方式是主要区别。Z坐标轴的移动方式有两种：工作台移动式和立柱移动式。
什么是卧式数控镗铣床常见的布局形式之一，多见于早期的数控机床或数控化改造的机床？,卧式数控镗铣床常见的布局形式之一是图2-3（a）结构形式，多见于早期的数控机床或数控化改造的机床。
中、小规格卧式数控机床常用的结构形式是什么？,中、小规格卧式数控机床常用的结构形式是图2-3（b）采用框架结构双立柱、Z轴工作台移动式布局。
卧式数控铣床的典型结构是什么？,卧式数控铣床的典型结构是图2-3（c）采用T形床身、框架结构双立柱、立柱移动式（Z轴）布局。
框架结构双立柱的优点是什么？,框架结构双立柱采用了对称结构，主轴箱在两立柱中间上、下运动，大大提高了结构刚度。主轴箱是从左、右两导轨的内侧进行定位，热变形产生的主轴中心变位被限制在垂直方向上，可以通过对Y轴的补偿，减小热变形的影响。
T形床身布局的优点是什么？,T形床身布局可以使工作台沿床身作X向移动时，在全行程范围内，工作台和工件完全支承在床身上，机床刚性好，工作台承载能力强，加工精度容易得到保证。这种结构可以很方便地增加X轴行程，便于机床品种的系列化、零部件的通用化和标准化。
立柱移动式结构的优点是什么？,立柱移动式结构的优点是减少了机床的结构层次，使床身上只有回转工作台和工作台，共三层结构，更容易保证大件结构刚性；降低了工件的装卸高度，提高了操作性能。Z轴的移动在后床身上进行，进给力与轴向切削力在同一平面内，承受的扭曲力小，钻孔和铣削精度高。
什么是立式数控镗铣床的常用布局形式？,立式数控镗铣床的常用布局形式包括工作台移动、升降及主轴转动方式，纵向和横向工作台移动方式，以及龙门架移动式。
龙门架移动式的立式数控铣床有何特点？,龙门架移动式的立式数控铣床采用龙门架沿床身作纵向运动，主轴可以在龙门架的横向与垂直溜板上运动。这种布局形式可以扩大行程、缩小占地面积并提高刚性。
目前立式数控铣床的控制坐标数量情况如何？,目前3坐标立式数控铣床仍占大多数，一般可进行3坐标联动加工，但也有一部分机床只能进行3坐标中的任意2个坐标联动加工，还有机床主轴可以绕X，Y、Z坐标轴中其中一个或两个轴作数控摆角运动的4坐标和5坐标立式数控铣床。
机床控制的坐标轴数量与哪些因素有关？,机床控制的坐标轴数量越多，特别是要求联动的坐标轴越多，机床的功能、加工范围及可选择的加工对象也越多，但随之而来的是机床的结构更复杂，对数控系统的要求更高，编程的难度更大，设备的价格也更高。
立式数控镗铣床常见的布局形式有哪些？,立式数控镗铣床常见的布局形式包括工作台移动、升降及主轴转动方式，纵向和横向工作台移动方式，以及龙门架移动式。
什么是Y轴的上置式结构，它的目的是什么？,Y轴的上置式结构是指机床的Y轴采用上置式布局，滑座仍为两层。这种结构的目的是去除移动部件中的立柱本身的质量，从而达到减重的目的。
什么是卧式布局高速数控机床的“内外双框架”结构，它的作用是什么？,卧式布局高速数控机床的“内外双框架”结构是指外框架固定，上设X轴导轨，通过内框的移动实现X轴的运动；Z轴的运动通过安装在主轴箱内的滑枕实现。这种结构的作用是通过在移动部件中去除立柱本身的质量，质量不到原来的1/3，提高整体刚度，同时X、Y轴的对称布局形式也提高了机床的热稳定性，使机床的加工精度得到了提高。
什么是虚轴数控机床？,虚轴数控机床是一种全新概念的机床，与传统机床相比在机床的机构、本质上有了巨大的飞跃，被认为是机床发展史上的一次重大变革。
传统机床的串联机构的特点是什么？,传统机床的串联机构是指横梁、立柱等部件往往承受弯曲载荷，而弯曲载荷一般要比拉压载荷造成更大的应力和变形。为了提高机床刚性，必须采用大截面的构件。
传统机床的串联结构特性会导致什么问题？,传统机床的串联结构特性会导致移动部件的质量大、系统刚度低，成为机床致命的弱点。特别是当机床运动速度高和工件质量大时，这些弱点更为突出。
什么是后置轴和前置轴，它们之间的关系是什么？,在传统机床中，从基座（床身）至末端运动部件，是经过床身到滑座（在床身上作X轴运动）、滑座到立柱（在滑座上作Y轴运动）、立柱到主轴箱（在立柱上作Z轴运动）的先后顺序，逐级串联相连接的。因此，当滑座在作X轴运动时，滑座上的Y轴和立柱上的Z轴也作了相应的空间运动，也即后置的轴必须随同前置的轴一起运动。
末端所受的力是如何传递的？,加工时主轴上刀具所受的切削力反力，也依次传递给立柱、滑座，最终传递给床身，即末端所受的力按顺序依次串联地传至最前端。
为什么前端构件需要负担后端构件的重力和承受切削力？,由于传统机床的串联结构特性，前端构件不但要额外负担后端构件的重力，而且还要考虑承受切削力。这是因为这些作用力一般是不通过构件重心的，必然会产生弯矩和扭矩，而构件抵抗弯矩和扭矩的变形能力，一般仅为抵抗拉、压力变形的1/6~1/5。
为了达到机床高刚度的要求，传统机床的结构件需要考虑哪些因素？,为了达到机床高刚度的要求，每部分结构件都得考虑移动部件的质量、系统刚度以及承受切削力等因素，使其具有相应体积和材料。
什么是虚轴机床，它有什么特点？,虚轴机床是一个动平台、一个定平台和6根长度可变的连杆组成的结构，其中连杆将伺服电动机的旋转运动转换为直线运动，使刀具在工件上加工出复杂的三维曲面。由于这种机床上没有导轨、转台等实体构件，故称为虚轴机床；由于其结构特点，又称为“并联运动机床”；同时，由于其奇异的外形，西方刊物上还常称之为“六足虫”。
虚轴机床的结构是什么？,虚轴机床的基本结构是一个动平台，一个定平台和6根长度可变的连杆。动平台上装有机床主轴和刀具，定平台（或者与定平台固连的工作台）上安装工件，6根连杆实际是6个滚珠丝杠螺母副，它们将两个平台连在一起，同时将伺服电动机的旋转运动转换为直线运动，从而不断改变6根连杆的长度，带动动平台产生6自由度的空间运动。
虚轴机床的刚性和速度性能如何？,由于虚轴机床的连杆均为二力杆，只承受拉、压载荷，所以其应力、变形显著减小，刚性大大提高。虚轴机床刚性约为传统加工中心的5倍，进给速度可达66m/min，加速度可达1-3g，轮廓加工速度相当于传统加工中心的5-10倍。
虚轴机床有哪些别称？,虚轴机床除了被称为虚轴机床外，还被称为“并联运动机床”（Parallel Kinematic Machine，PKM）和“六足虫”（Hexapod）。
