questions,answers
数字转速表在主轴维修与调整中的作用是什么？,数字转速表用于测量与调整主轴的转速，以及调整数控系统及驱动器的参数，用以使编程的主轴理想转速与实际主轴转速相符，是主轴维修与调整的测量工具之一。
相序表在进给伺服驱动与主轴驱动维修中的作用是什么？,相序表主要用于测量三相电源的相序，是进给伺服驱动与主轴驱动维修的必要测量工具之一。
长度测量工具在数控机床维修中的用途是什么？,长度测量工具（如千分表、百分表等）用于测量机床移动距离、反向间隙值等。通过长度测量，可以大致判断机床的定位精度、重复定位精度、加工精度等。根据测量值可以调整数控系统的电子齿轮比、反向间隙等主要参数，用以恢复机床精度。
什么是 PLC 编程器，哪些数控系统的 PLC 控制器需要使用专用的编程器？,PLC 编程器是用于对 PLC 控制器进行编程、调试、监控和检查的专用工具。不少数控系统的 PLC 控制器需要使用专用的编程器，例如 SIEMENS 的 PG710、PG750、PG865 和 OMRON 的 GPC01/μGPC04、PRO-13~PRO-27 等。
IC 测试仪的作用是什么，何时需要使用它？,IC 测试仪用于离线快速测试集成电路的好坏，当数控系统进行芯片级维修时，它是必需的仪器。
逻辑分析仪和脉冲信号笔是什么，它们有什么作用？,逻辑分析仪和脉冲信号笔是专门用于测量和显示多路数字信号的测试仪器，通常分为 8 个、16 个和 64 个通道，可同时显示 8 个、16 个或 64 个逻辑方波信号。它们可用于测量和显示各被测点的逻辑电平、二进制编码或存储器的内容。
使用什么类型的电烙铁进行焊接工作？,焊接工作通常采用 30W 左右的尖头、带接地保护线的内热式电烙铁，最好使用恒温式电烙铁。
常用的吸锡器类型有哪些？,常用的吸锡器包括便携式手动吸锡器和电动吸锡器。
扁平集成电路拔放台用于什么目的？,扁平集成电路拔放台用于 SMD 片状元件、扁平集成电路的热风拆焊工作，可换多种喷嘴，并可防静电。
旋具类工具需要配备哪些类型和规格？,旋具类工具需要配备规格齐全的一字和十字螺丝刀各一套，旋具宜采用树脂或塑料手柄。为了方便伺服驱动器的调整与装卸，还应配备无感螺丝刀与梅花形六角旋具各一套。
扳手类工具通常需要哪些类型？,扳手类工具通常需要平头钳、尖嘴钳、斜口钳、剥线钳、压线钳、摄子等。
常用的化学用品有哪些？,常用的化学用品包括松香、纯酒精、清洁触点用喷剂、润滑油等。
维修数控系统时需要哪些备件？,维修数控系统时需要常用的备品、备件，如印制电路板等。配置数控系统的备件要根据实际情况来处理。]
什么是数控机床的机床本体故障？,数控机床的机床本体部分，主要包括机械、润滑、冷却、排屑、液压、气动与防护装置。因机械安装、调试及操作使用不当等原因而引起的机械传动故障和导轨副摩擦过大故障，通常表现为传动噪声大、加工精度差、运行阻力大。
机床本体故障的常见原因有哪些？,机床本体故障的常见原因包括传动链的挠性联轴器松动，齿轮、丝杠与轴承缺油，导轨塞铁调整不当，导轨润滑不良以及数控系统参数设置不当等。
数控机床的液压、润滑与气动系统的故障主要表现在哪些方面？,液压、润滑与气动系统的故障主要表现在管路阻塞或密封不良，造成数控机床无法正常工作。
什么是电气故障？,电气故障分弱电故障与强电故障。
什么是弱电部分？弱电部分包括哪些电子电路？,弱电部分指的是CNC装置、PLC控制器、CRT显示器以及伺服单元、输入输出装置等电子电路。其中包括硬件故障与软件故障之分。
弱电部分的硬件故障主要包括哪些？,弱电部分的硬件故障主要包括印制电路板上的集成电路芯片、分立元件、接插件以及外部连接组件等发生的故障。
常见的软件故障有哪些？,常见的软件故障包括加工程序出错、系统程序和参数的改变或丢失、计算机的运算出错等。
什么是强电故障？强电故障包括哪些元器件？,强电故障是指继电器、接触器、开关、熔断器、电源变压器、电磁铁、行程开关等元器件，以及由其所组成的电路发生故障。
数控机床发生故障可以按什么分类？,数控机床发生故障可以按故障的性质分类，包括系统性故障和随机性故障。
数控系统中有哪些部位设有警示灯，它们的作用是什么？,在数控系统中，许多部位如控制操作面板、位置控制印制线路板、伺服控制单元、主轴单元、电源单元等以及光电阅读机、穿孔机等外设装置上设有警示灯。一旦出现故障，借助相应部位上的警示灯可大致分析判断出故障发生的部位与性质，给故障分析、诊断带来极大方便。
软件报警显示的故障有哪些类型？,软件报警显示通常是指显示屏 (CRT) 上显示出来的报警号和报警信息。常见的软件报警类型包括存储器警示、过热警示、伺服系统警示、轴超程警示、程序出错警示、主轴警示、过载警示以及短路警示等。通常软件报警包括来自 NC 的报警和来自 PLC 的报警。
什么类型的故障可能比 NC 故障更常见？,PLC 报警发生的可能性要比 NC 报警高得多。
无报警显示的故障指的是什么？,无报警显示的故障是指发生时无任何硬件或软件的报警显示，分析诊断难度较大。
对于无报警显示故障，通常需要采取什么方法进行分析判断？,对于无报警显示故障，通常需要具体情况具体分析，要根据故障发生的前后变化状态进行分析判断。
如何判断数控部分是否正常？,在手摇脉冲进给方式中，可均匀地旋转手摇脉冲发生器，同时分别观察、比较 CRT 上 Y 轴、 Z 轴与 X 轴进给数字的变化速率。如果三个轴的变化速率基本相同，则说明数控部分正常。
什么是数控机床自身故障？,数控机床自身故障是由数控机床自身原因引起的，与外部使用环境条件无关。
数控机床的故障可以分为哪两类？,数控机床的故障可以分为内部故障和外部故障。
数控机床的外部故障可能由哪些原因造成？,数控机床的外部故障可能由供电电压问题、环境温度过高、有害气体、潮气、粉尘侵入、外来振动和干扰、人为因素等造成。
什么是破坏性故障和非破坏性故障？,破坏性故障是指故障发生时会对机床造成破坏或损坏；非破坏性故障是指故障发生时不会对机床造成破坏或损坏。
数控机床故障排除的思路是什么？,数控机床故障排除的思路包括确认故障现象、调查故障现场、充分掌握故障信息等。维护维修人员需要了解操作使用人员对机床的熟悉程度，并进行必要的故障确认。
在分析故障时，维修人员需要注意哪些方面？,在分析故障原因时，维修人员应注意思路开阔，将有可能引起故障的原因以及每一种解决的方法全部列出来，进行综合判断和筛选。同时，需要在对故障进行深入分析的基础上，预测故障原因并拟定检查的内容、步骤和方法，制定故障排除方案。
如何逐级定位故障部位？,根据预测的故障原因和预先确定的排除方案，用试验的方法进行验证，逐级来定位故障部位，最终找出发生故障的真正部位。为了准确、快速地定位故障，应遵循“先方案后操作”等原则。
在排除故障后，需要做哪些工作？,故障排除后，应迅速恢复机床现场，并做好相关资料的整理工作，以便提高自己的业务水平，方便机床的后续维护和维修。]
在检测故障过程中，应如何充分利用数控系统的自诊断功能？,在检测故障的过程中，应充分利用数控系统的自诊断功能，如系统的开机诊断、运行诊断、PLC的监控功能等，根据需要随时检测有关部分的工作状态和接口信息。
在检测、排除故障中应掌握哪些原则？,在检测、排除故障中应掌握以下若干原则：1. 先方案后操作（或先静后动）：先静下心来，考虑解决方案后再动手。2. 先检查后通电：在机床断电的静止状态下，通过观察、测试、分析，确认为非恶性循环性故障或非破坏性故障后，方可给机床通电。3. 先软件后硬件：当发生故障的机床通电后，应先检查数控系统的软件工作是否正常。
什么是“先外部后内部”的原则？,在检修数控机床时，维修人员遵循“先外部后内部”的原则。即当数控机床发生故障后，维修人员应先采用望、闻、听、问等方法，由外向内逐一进行检查。
哪些部位是数控机床外部检查的重点？,外部的行程开关、按钮开关、液压气动元件的连接部位，印制电路板插头座、边缘接插件与外部或相互之间的连接部位，电控柜插座或端子板这些机电设备之间的连接部位是数控机床外部检查的重点。
为什么在检修中要重视机械因素？,数控机床是一种自动化程度高、技术较复杂的先进机械加工设备，一般来讲，机械故障较易察觉，而数控系统故障的诊断则难度要大些。在检修中重视机械因素，可以迅速排除较多的故障。
“先机械后电气”的原则是什么？,“先机械后电气”的原则是指在数控机床的检修中，首先检查机械部分是否正常、行程开关是否灵活、气动液压部分是否正常等。
大部分数控机床的故障是什么引起的？在故障检修之前应先排除什么？,大部分数控机床的故障是由机械动作失灵引起的。在故障检修之前应首先逐一排除机械性的故障。
在排除数控机床的故障时，应遵循什么顺序？,在排除数控机床的故障时，应遵循先公用后专用、先简单后复杂、先一般后特殊的顺序。
当出现多种故障相互交织掩盖时，应先解决什么问题？,当出现多种故障相互交织掩盖时，应先解决容易的问题，再解决难度较大的问题。
当数控车床 Z 轴回零不准时，最常见的可能原因是什么？在排除这一故障常见的可能性之后，再检查什么？,当数控车床 Z 轴回零不准时，最常见的可能原因是降速挡块位置变动。在排除这一故障常见的可能性之后，再检查脉冲编码器、位置控制等其他环节。
故障记录中需要记录哪些内容？,故障记录中应包括故障发生时的情况记录，如发生故障的机床型号、采用的控制系统型号、系统的软件版本号、发生故障的部位以及故障的现象、故障发生时数控系统所处的操作方式、故障发生时的加工程序号、出现故障的程序段号、加工时采用的刀具号以及刀具的位置、被加工工件号、报警显示情况与报警号等。
通过诊断画面，可以记录机床故障时哪些工作状态？,通过诊断画面，可以记录机床故障时所处的工作状态，如数控系统是否在执行 M、S、T 等功能，数控系统是否进入暂停状态或是急停状态，数控系统坐标轴是否处于“互锁”状态，进给倍率是否为 0％等。
故障发生时需要记录哪些坐标轴的信息？,故障发生时需要记录各坐标轴的位置跟随误差的值。
故障发生时需要记录哪些坐标轴的移动信息？,故障发生时需要记录各坐标轴的移动速度、移动方向，主轴转速、转向等数据。
故障发生的时间与周期需要记录哪些内容？,故障发生的时间与周期需要记录的内容包括机床是否一直存在故障，若为随机故障，则一天发生几次，是否频繁发生。
故障发生时的环境情况需要记录哪些内容？,故障发生时的环境情况需要记录的内容包括是否总是在用电高峰期发生，故障发生时（如雷击后），周围其他机械设备的工作情况如何。
故障发生与加工工件的关系需要记录哪些内容？,故障发生与加工工件的关系需要记录的内容包括加工同类工件时发生故障的概率。
故障与哪些特殊动作有关需要记录哪些内容？,故障与哪些特殊动作有关需要记录的内容包括检查故障是否与“进给速度”、“换刀方式”或“螺纹切削”等特殊动作有关。
在不危及人身安全和设备安全的情况下，是否可以重现故障现象？,在不危及人身安全和设备安全的情况下，可以重现故障现象。
检查故障是否与机床的外界因素有关？,检查故障是否与机床的外界因素有关。
如果是在执行某固定程序段时出现故障，如何检查是否还存在同样的故障？,如果是在执行某固定程序段时出现故障，则可利用 MDI 方式单独执行该程序段，检查是否还存在同样的故障。
如何在手动方式下检查机床故障？,手动方式下执行与机床故障相关的动作，检查是否也有同样的故障。
周围环境温度超过允许温度会导致什么？,周围环境温度超过允许温度可能导致机床故障。
数控系统受到阳光直射会怎样？,数控系统受到阳光直射可能导致机床故障。
输入电压超过数控系统允许的波动范围会怎样？,输入电压超过数控系统允许的波动范围可能导致机床故障。
车间内或线路上使用大电流的设备启动、制动会导致什么？,车间内或线路上使用大电流的设备启动、制动可能导致机床故障。
吊车、高频机械、焊接机或电加工机床等强电磁干扰源会导致什么？,吊车、高频机械、焊接机或电加工机床等强电磁干扰源可能导致机床故障。
附近安装或修理、调试机床、修理、调试电气和数控系统会导致什么？,附近安装或修理、调试机床、修理、调试电气和数控系统可能导致机床故障。
如何检查数控机床的工作状况？,检查数控机床的调整状况和工作条件是否符合要求；检查加工时所使用的刀具是否符合要求，切削参数的选择是否合理、正确。
在自动换刀时需要检查哪些方面？,需要检查坐标轴是否到达了换刀位置，程序中是否设置了刀具偏移量。
在运行数控机床前需要检查数控系统的哪些参数设定？,需要检查数控系统的刀具补偿量、坐标轴的间隙补偿量、设定参数（包括坐标旋转、比例缩放因子、镜像轴、编程尺寸单位选择等）和工件坐标系的“零点偏置值”的设置是否正确。
在运行数控机床前需要检查工件安装和测量手段的哪些方面？,需要检查工件安装是否合理，测量手段与方法是否正确、合理，以及是否存在因温度、加工而产生变形的现象等。
在记录数控机床运转情况时需要关注哪些方面？,需要关注是否改变或调整过操作方式，是否插入了手动操作，是否处于正常加工状态，工作台、夹具等装置是否处千正常工作位置，操作面板上的按钮、开关位置是否正确，是否处于锁住状态，倍率开关是否设定为“O”，各操作面板上、数控系统上的“急停”按钮是否处于急停状态，电气柜内的熔断器是否有熔断现象，自动开关、断路器是否有跳闸现象，操作面板上的方式选择开关位置是否正确，进给保持按钮是否被按下等。
检查数控机床与数控系统之间连接情况时需要关注哪些方面？,需要关注连接是否正常，信号线是否接触良好，电源线是否接反等。
在数控机床运行前需要检查哪些方面？,需要检查刀具、工件、夹具、冷却液、气压、润滑系统、液压系统、电气系统等方面是否正常。
在 CNC 装置的外观检查中，需要记录的内容有哪些？,在 CNC 装置的外观检查中，需要记录的内容包括电气柜门打开状态下运行数控系统的情况、切削液或切削粉末是否进入柜内、空气过滤器清洁状况、电气柜内部风扇和热交换器的工作状况、电气柜内部系统、驱动器的模块和印制电路板是否有污染、纸带阅读机上的制动电磁铁动作是否正常、电源单元的熔断器是否熔断、电缆连接器插头是否完全插入和拧紧、数控系统模块和线路板的数量是否齐全、模块和线路板安装是否牢固和可靠、数控机床操作面板 MDI/CRT 单元上的按钮是否有破损和位置是否正确、数控系统的总线设置和模块的设定端的位置是否正确等。
维修时应记录哪些原始数据和状态以方便维修？,维修人员应记录、检查的原始数据和状态越多，记录越详细，维修就越方便。维修人员最好根据本部门的实际情况，编制一份故障维修记录表，在数控机床出现故障时，操作者可以根据表中的要求，及时填入各种原始数据，供维修时参考。
CNC 故障自诊断功能包括哪些部分？,功能齐全的 CNC、PLC 装置都配有故障诊断系统，它们可以将由各种开关、传感器反映的油位、温度、油压、电流、速度等状态信息，设置成数百个报警提示，并诊断、指示出发 生故障的部位。自诊断程序主要包括启动自诊断、在线诊断、离线诊断等主要部分。
什么是启动自诊断？,启动自诊断是指在数控系统通电时，由数控系统内部诊断程序自动执行的诊断，类似 千计算机的开机自检。启动自诊断可以对数控系统中的关键硬件，如 CPU 、存储器、 1/0 接口单元、 CRT/MDI 单元、纸带阅读机、软驱等装置或外部设备进行自动检查，确定数控系统的安装、连接状态与性能。
数控系统的自诊断功能可以对哪些芯片进行诊断？,RAM、ROM、专用LSI等芯片可以被部分数控系统的自诊断功能进行诊断。
数控系统的自诊断功能在何时启动？,数控系统的自诊断功能在开机时启动。
如果数控系统的自诊断检查出有错，会发生什么情况？,如果数控系统的自诊断检查出有错，数控机床将不再转入正常运行状态，而是进入报警状态，通过CRT或硬件显示报警信息或报警号。
诊断的时间取决于什么？,诊断的时间取决于数控系统，一般只需数十秒，有的采用硬盘驱动器的数控系统则需要几分钟。
启动自诊断可以将故障原因定位到什么程度？,启动自诊断可以将故障原因定位到电路板或模块上，甚至可定位到芯片上。
在不少情况下，故障定位的范围是什么？,在不少情况下，故障定位的范围仅在某一范围内。
维修人员如何找到真正的故障并排除？,维修人员需要通过维修手册中所指出的可能造成故障的原因及相应排除方法，经分析、判断后，才能找到真正的故障并加以排除。
在遇到级别较高的故障报警时，应该怎么做？,在遇到级别较高的故障报警时，可以关机后重新开机，让数控系统启动自诊断，检查数控系统这些关键部分是否正常。
维修人员在对数控系统进行维修时，需要了解什么？,维修人员在对数控系统进行维修时，需要了解该数控系统的自诊断能力，以及所能检查的内容及范围。
什么是开机自诊断？,开机自诊断是在数控系统通电时进行的自我检查过程，用于检测重要部件的可靠性。
在哪个例子中，开机自诊断被应用于排除数控系统故障？,开机自诊断在意大利 F90 钻床改制的大型数控导轨钻床中被应用于排除故障。
FANUC-6M 数控系统在开机自诊断时发现了什么报警信息？,FANUC-6M 数控系统在开机自诊断时发现了 “SYSTEMERROR 908“ 报警信息。
908 号报警是什么意思？,908 号报警表示磁泡驱动器软件奇偶校验错故障。
除了 908 号报警外，该数控系统还出现了什么其他报警？,在频繁出现 908 号报警时，该数控系统曾在 CRT 上偶尔出现过 081 号 (ROM 故障）报警。
维修人员如何排除故障疑点？,维修人员采用调换 ROM 或 ROM 电路板的方法来排除故障疑点。
开机自诊断对维修人员有什么帮助？,开机自诊断为维修人员排除一些疑难故障提供帮助。
目前数控系统的自诊断功能存在什么局限性？,目前数控系统的自诊断功能尚存在着局限性，不能将全部故障原因准确定位到一个具体的模块上。
什么是 CNC 机床的在线诊断？,CNC 机床的在线诊断是指 CNC 系统通过内装程序，在数控系统处于正常运行状态时，对 CNC 系统内部的各种状态以及与其相连的各执行部件进行自动诊断、检查。
在线诊断包括哪些功能？,在线诊断包括 CNC 系统内部设置的自诊断功能和用户单独设计的对加工过程状态的监测与诊断功能，这些功能都是在机床正常运行过程中监视其运行状态的。
在线诊断可以分为哪两种诊断形式？,在线诊断可以分为 CNC 系统内部监控与外部设备监控两种诊断形式。
什么是 CNC 系统内部监控？,CNC 系统内部监控是通过 CNC 系统的内部程序，对每一部分的状态进行自动诊断、监视和检查的一种方法。
数控系统内部监控包括哪些内容？,数控系统内部监控包括接口信号显示、内部状态显示和故障信息显示三个方面的内容。
什么是进行数控机床状态检查的技术指南？,   数控系统生产厂家提供的“功能说明书”、“连接说明书”以及机床生产厂家提供的“机床电气原理图”是进行数控机床状态检查的技术指南。
内部状态显示功能可以显示哪些方面的内容？,   内部状态显示功能可以显示造成循环指令（加工程序）不执行的外部原因、复位状态显示、存储器内容是否能被正常读取的显示、负载电流的显示、位置跟随误差的显示、伺服驱动部分的控制信息显示和编码器、光栅等位置检测元件的输入脉冲显示等。
在数控系统中，故障信息一般以什么形式在 CRT 上显示？,   在数控系统中，故障信息一般以“报警显示”的形式在 CRT 上显示。
什么是外部设备监控？,   外部设备监控是指采用计算机、PLC编程器等设备，对数控机床各部分的状态进行自动诊断、检查和监视的一种方法。
外部设备监控可以实现哪些功能？,   外部设备监控可以对PLC程序进行动态监测，进行伺服驱动、主轴驱动系统的动态性能测试、动态波形显示等内容。
远程诊断技术是如何实现的？,   远程诊断技术是通过网络为媒介的，在线实现对数控系统生产厂家生产的产品在现场的工作情况的检测、监控。
在线诊断系统如何报警？,   在线诊断一旦监视的信息超限，诊断系统就会通过显示器或指示灯等装置发出报警信号，提供报警号，并配以适当注释显示在屏幕上。
维修人员如何处理故障信息？,   维修人员可根据这些故障信息，经过分析，确认故障点并及时排除故障。需要注意的是，系统所提供的报警信息并非唯一准确的，仅仅是故障的可能原因，需要进一步分析查找。
什么情况下维修人员需要注意排除故障假象？,维修人员应结合机床结构，查阅机床维修手册，凭借自己的实践经验，注意排除故障假象，往往一种故障所引发的现象是由几种原因引起的，或一种原因引起几种故障，即大部分故障是以综合形式出现的。
CNC机床自诊断系统功能的强弱对于评价CNC系统性能有何重要意义？,CNC机床自诊断系统功能的强弱是评价CNC系统性能的一项重要指标。
各种CNC机床的自诊断功能报警号是否完全相同？,各种CNC机床的自诊断功能报警号不尽完全相同，只能根据具体机床的使用说明书和维修手册进行分析、诊断。
某型号的CNC系统的报警信号编组是如何划分的？,例如某型号的CNC系统的报警信号编组如下：(1) 与 CNC 系统硬件（如存储器、伺服系统等）有关的报警编号为 1~99。(2) 与机械控制有关的报警编号为 100~339。(3) 与操作失误有关的报警编号为 400-499。(4) 与外部通信对话有关的报警编号为 500-599。(5) 与加工程序编制错误有关的报警编号为 600-699。
除了以上提到的报警编号，还有哪些故障类型应有对应的编号？,此外，还有可编程控制器故障，连接方面的故障，温度、压力、液压等不正常，行程开关（或接近开关）状态不正常等都应有对应的编号。
