questions,answers
"故障现象：某配套SIEMENS3M的立式加工中心，在使用过程中经常无规律地出现“死机”、系统无法正常起动等故障。机床故障后，进行重新开机，有时即可以正常起动，有时需要等待较长的时间才能起动机床；机床在正常起动后，又可以恢复正常工作。
","分析及处理过程由于该机床只要在正常起动后，即可以正常工作；且正常工作的时间不定，有时可以连续进行数天，甚至数周的正常加工；有时却只能工作数小时，甚至几十分钟，故障随机性大，无任何规律可寻，此类故障属于比较典型的“软故障”。
鉴于机床在正常工作期间，所有的动作、加工精度都满足要求，而且有时可以连续工作较长时间，因此，可以初步判断数控系统本身的组成模块、软件、硬件均无损坏，发生故障的原因主要来自系统外部的电磁干扰或外部电源干扰等。

一般来说，数控系统、机床、车间的接地系统的不良；系统的电缆屏蔽连接的不正确；电缆的布置、安装的不合理；系统各模块的安装、连接、固定的不可靠等因数是产生“软故障”的主要原因。维修“软故障”时，应主要针对以上各方面进行必要的检查与诊断。在排除了以上基础工作缺陷造成“软故障”的原因后，维修时应重点针对系统的电源输入回路与外部电源进行。
根据以上分析，维修时首先对数控系统、机床、车间的接地系统进行了认真的检查，纠正了部分接地不良点；对系统的电缆屏蔽连接，电缆的布置、安装进行了整理、归类；对系统各模块的安装、连接进行了重新检查与固定等基础性的处理。
经过以上处理后，机床在当时经多次试验，均可以正常起动。但由于该机床的故障随机性大，产生故障的真正原因并未得到确认，维修时的试验并不能完全代表故障已经被彻底解决，有待于作长时间的运行试验加以验证。
实际机床在运行了较长时间后，经操作者反映，故障的发生频率较原来有所降低，但"
"故障现象：某配套FANUC0TC的进口数控车床，开机后，CNC显示“NOTREADY”，伺服驱动器无法起动。
","分析及处理过程：由机床的电气原理图，可以查得该机床急停输入信号包括紧急按

钮、机床X/Z轴的“超程保护”开关以及中间继电器KA10的常开触点等。
检查急停按钮、“超程保护”开关均已满足条件，但中间继电器KA10未吸合。
进一步检查KA10线圈，发现该信号由内部PLC控制，对应的PLC输出信号为Y53.
1。
根据以上情况，通过PLC程序检查Y53.1的逻辑条件，确认故障是由于机床主轴驱
动器报警引起的。
通过排除主轴报警，确认Y53.1输出为“1”，在KA10吸合后，再次起动机床，故障清除，机床恢复正常工作。"
"故障现象：某配套FANUC0MC的进口“立卧复合”加工中心，开机后CNC显示“NOTREADY”，伺服驱动器无法起动。
","分析及处理过程：故障分析过程同上例，对照机床电气原理图及PLC程序检查，发现机床“急停”信号已被输入。
进一步分析、检查发现，引起故障的原因是“立卧转换头”未到位，导致了机床“急停”。检查实际机床的情况，立/卧转换头位置正确，但转换到位信号为“0”，检查后确认，故障原因是因为到位检测无触点开关损坏。
更换无触点开关后，机床恢复正常工作。"
"故障现象：某配套SIEMENS802D的立式加工中心，开机后显示“ALM3000”机床无法正常起动。
","分析及处理过程：经初步检查，机床工作台均处在正常位置（未超程）、所有急停开关均已复位，且机床外部I/O输入对应的信号触点已接通。根据以上情况，可以认为机床急停的原因与机床的状态无关。
通过诊断页面检查，发现PLC的全部机床输入信号均为“0”状态，因此初步判断故障原因在I/O信号的输入信号的公共电源回路上。
打开电气柜后检查发现，该机床的DC24V断路器已跳闸，进一步测量24V输出未短路，合上断路器后，机床工作恢复正常。"
"故障现象：某配套SIEMENS802S的数控车床，手动操作时Z轴显示正常，但坐标轴没有运动。
","分析及处理过程：与上述例于类似，观察发现Z轴步进电动机与丝杆没有转动，但Z轴电动机发热，且有明显的励磁。为了进一步判别，松开了电动机与丝杆的联接，再移动Z轴，发现Z轴电动机可以正常转动。

但手动转动丝杆发现阻力很大，故确认故障原因在机械部分，经进一步检查发现，该机床的导轨防护罩卡死，使坐标轴无法正常移动，导致步进电动机失步。修复防护罩后，机床恢复正常。"
"故障现象：某配套GSK980M的数控铣床，在操作过程中发现，机床的X轴实际运动方向无故与原机床的运动方向相反。
","分析及处理过程：在大多数数控系统中，坐标轴的运动方向的改变可以通过同时改变伺服电动机的电枢接线与交换脉冲编码器的A、B、及*A、*B相输出来实现；部分系统中，还可以通过改变数控系统的机床参数来实现。但是，这样的改变通常需要由维修者进行，一般操作人员不太可能进行以上修改。
因此，分析产生以上故障的原因，应可能是在正常的操作下操作者有可能进行的改变。考虑到GSK980M系统，可以通过设置页面，直接将X轴工作于镜象方式，它是造成

坐标轴反向的原因之一。经检查发现，引起的原因确是操作者将系统设置页面中的X
轴镜象设为“开”的状态。重新设置后，机床即恢复正常。例139.KND100T系统进给倍率开关无效的故障维修
"
"故障现象：某配套kND100T的数控车床，在机床开机后，发现手轮无效，但机床无任何报警号。
","分析及处理过程：经现场分析，发现机床在其他手动、自动、MDI方式下均能正常工作。因此，引起故障可能的原因如下：
€机床手轮不良，手轮信号无输入。
""系统参数被修改，导致手轮功能无效。
由于在KND100T中，手轮为选择功能，它决定于系统选择功能参数的设定，其选择参数为PRM001bit3＝“1”。经检查发现，该机床参数已经被修改；恢复该参数的设定后，手轮工作恢复正常。"
"故障现象：某配套FANUC0系统的数控机床，回参考点动作正常，但参考点位置随机性大，每次定位都有不同的值。
","分析及处理过程：由于机床回参考点动作正常，证明机床回参考点功能有效。进一步检查发现，参考点位置虽然每次都在变化，但却总是处在参考点减速挡块放开后的位置上。因此，可以初步判定故障的原因是由于脉冲编码器“零脉冲”不良或丝杠与电动机间的联接不良引起的故障。
为确认问题的原因，鉴于故障机床伺服系统为半闭环结构，维修时脱开了电动机与丝杆间的联轴器，并通过手动压参考点减速挡块，进行回参考点试验；多次试验发现，每次回参考点完成后，电动机总是停在某一固定的角度上。
以上证明，脉冲编码器“零脉冲”无故障，问题的原因应在电动机与丝杠的联接上。仔细检查发现，该故障是由于丝杆与联轴器间的弹性胀套配合间隙过大，产生联接松动；修整胀套，重新安装后机床恢复正常。"
"故障现象：某配套FANUC11M系统的卧式加工中心，在X轴回参考点时，
CNC显示PS200报警。
","分析及处理过程：检查该机床回参考点减速动作正确，系统与回参考点有关的全部参数设定无误，因此，初步判定故障是由于“零脉冲”不良引起的。
分析实际机床，该机床采用的是全闭环结构，测量系统使用的是Heidenhain公司生产的光栅尺。为了尽快确定故障部位，维修时将X、Y的光栅尺前置放大器（EXE601）进行了互换。开机试验，X轴回参考点正常，由此确认故障是由于光栅尺前置放大器EXE601不良引起的；拆下EXE601进行修复后，机床恢复正常工作（有关Heidenhain光栅尺的原理与维修，可以参见本书第6章第6.4.5节的有关内容）。"
"故障现象：某配套YSKA＝J50M系统的加工中心，在机床重新调整后，执行回参考点动作时，系统出现ALM231、232、233报警。
","分析及处理过程：YASKA＝J50M系统出现ALM231、232、233报警的含义是参考点返回区域错误，此报警一般与系统的参数设定有关。
在现场了解机床的调整情况后，得知机床调整时为了改变参考点位置，对系统参数#6304~#6307、#6480~#6483进行了调整。检查以上参数实际设定，发现#6304~#6307被设定为“0”，引起了以上故障。
重新设定系统参数#6304~#6307为1000后，通过改变其他参数调整机床参考点，机床报警消失，恢复正常工作。"
"故障现象：某配套FANUC0T系统的数控车床，在自动加工时，按下“循环起动”键，程序中的M、S、T指令正常执行，但运动指令不执行。
","分析及处理过程：分析故障原因。由于程序中的M、S、T指令正常执行，机床手动、回参考点工作正常，证明系统、”驱动器工作均正常。引起运动指令不执行的原因一般有以下几种：
€系统的“进给保持”信号生效。""轴的“进给倍率”为零。
€坐标轴的“互锁”信号生效。

经检查，本机床的“进给保持”信号、“进给倍率”均正确，因此产生问题的原因与坐标轴的“互锁”信号有关。通过诊断功能，检查系统坐标轴的“互锁”信号，发现此信号为“0”。
进一步检查机床的PLC程序设计，发现引起坐标轴“互锁”的原因是刀架不到位；重新调整刀架位置后，机床恢复正常。"
"故障现象：某配套FANUC0–TD系统的数控车床，车削外圆时加工表面粗糙，机床进给运动存在爬行现象。
","分析及处理过程：引起数控机床进给爬行的原因很多，机械传动系统的安装、调整不良，导轨润滑不良，系统、驱动器的参数设定不当都可能引起进给爬行。
检查本机床的机械传动系统，导轨润滑系统，以及数控系统、驱动器的参数设定均正确，手动转动X、Z轴的丝杠，转动轻松，可以排除机械部分的故障原因。而且机床在手动任意速度运动坐标轴时，进给平稳、无爬行，因此亦可以排除数控系统、驱动器参数设定不当的故障原因。
根据以上判断，可以确认故障仅存在于机床的自动运行中，分析自动与手动运动的区别，两者只是进给速度的指令方式有所不同，因此可以基本确定故障与机床的送给速度指令方式有关。
进一步检查CNC设定，发现该机床默认的是主轴每转送给方式，程序中亦采用G99
（每转进给）编程。在这种进给方式下，进给速度与主轴的位置检测系统有关，当主轴位置检测输入信号不良时，容易引起进给运动的爬行。
为了验证，将程序中的进给方式改变为每分进给指令（G98），经试验发现进给爬行现象消失，加工零件合格。由此确认故障是由于主轴编码器不良引起的；更换编码器后，机床恢复正常工作。
2.SIEMENS系统故障维修18例"
"故障现象：某配套FAGOR8050系统的龙门加工中心，开机后，PLC的输出信号时有时无，在按下某些带灯的键后，系统出现死机。
",分析及处理过程：针对
"故障现象：某配套YASKA)J50M的加工中心，在机床加工时，发现全圆切削加工指
令G12/G13不起作用。
","分析及处理过程：由于机床其他功能正常，G12/G13在YASKA)J50M系统中为选择功能，初步判定故障是由于系统选择功能未生效引起的。
设定系统参数#6037bit3＝1，开放系统全圆切削加工指令G12/G13的选择功能；机床指令执行正常，故障排除。"
"故障现象：一台配套FANUC6ME系统的加工中心，由于伺服电动机损伤，在更换了X轴伺服电动机后，机床一接通电源，X轴电动机即高速转动，CNC发生ALM410报警并停机。
","分析及处理过程：机床一接通电源，X轴电动机即高速转动，CNC发生ALM410报警并停机的故障，在机床厂第一次开机调试时经常遇到，根据维修经验，故障原因通常是由于伺服电动机的电枢或测速反馈极性接反引起的。
考虑到本机床X轴电动机己经进行过维修，实际存在测速发电机极性接反的可能性，维修时将电动机与机械传动系统的连接脱开后（防止电动机冲击对传动系统带来的

损伤），直接调换了测速发电机极性，通电后试验，机床恢复正常。"
"故障现象：一台配套FANUC6ME的加工中，在加工过程中，突然停机，CRT显＝ALM401、410、411、420、421、430、431号报警。
","分析及处理过程：FANUC6ME系统CRT上显示以上冬报警的含义是：
ALM40：X、Y、Z等进给轴驱动器的速度控制准备信号（VRDY信号）为“OFF”状态，即：伺服驱动系统没有准备好。
ALM410、420、430：X轴、Y轴和Z轴停止时的位置偏差过大。
ALM411、421、431：X轴、Y轴和Z轴移动时位置偏差过大。

根据FANUC6M系统的维修说明书，发生以上报警号的原因较多，且都与位置控制、伺服驱动器有关。实际分析，在一般情况下，系统同时发生X轴、Y轴和Z轴伺服驱动器损坏的可能性较小，故而故障应与速度控制单元的公共部分有关。
通过检查速度控制单元的主回路电源、辅助电源等公共部分，发现伺服变压器的进线电源熔断器的其中两相已熔断。
测量伺服变压器一次（侧）进线，确认变压器柜内部存在短路。打开伺服变压器柜检查发现，伺服变压器进线的电线绝缘破损，造成了电源短路。在重新连接后，确认伺服驱动器无短路，重新开机，故障排除，机床恢复正常。"
"故障现象：一台配套FANUC6M系统的立式加工中心，在开机后，系统显示ALM401
报警。
","分析及处理过程；FANUC6M系统出现ALM401的原因同前述。经检查X轴速度控制单元的报警指示灯LVAL亮，表明速度控制单元存在电源电压过低报警。
根据LVAL报警可能的原因，首先检查驱动器的AC18V输入，测量表明，输入电压正确。进一步检查辅助电源熔断器F8/F9正常，表明辅助电源回路无短路。
对照FANUC直流伺服单元原理图，开机后测量驱动器辅助电源控制电压，发现驱动器DC15V为“0”，表为15V辅助电源故障。逐级测量15V辅助电源回路各元器件，最

终发现驱动器的DC15V集成稳压器件Q1（17815）损坏。
更换同规格集成电路后，测量15V正常，LVAL亮灭，机床报警消失，故障排除。例215~例216.测速发电机引起的位置跟随误差报警的故障维修"
"故障现象：一台配套FANUC7M系统的加工中心，进给加工过程中，发现Y
轴有振动现象。
","分析及处理过程：加工过程中坐标轴出现振动、爬行现象与多种原因有关，故障可能是机械传动系统的原因，亦可能是伺服进给系统的调整与设定不当等等。
为了判定故障原因，将机床操作方式置于手动方式，用手摇脉冲发生器控制Y轴进给，发现Y轴仍有振动现象。在此方式下，通过较长时间的移动后，Y轴速度单元上OVC报警灯亮。证明Y轴伺服驱动器发生了过电流报警，根据以上现象，分析可能的原因如下：
l）电动机负载过重。2）机械传动系统不良。
3）位置环增益过高。
4）伺服电动机不良，等等。
维修时通过互换法，确认故障原因出在直流伺服电动机上。卸下Y轴电动机，经检查发现6个电刷中有2个的弹簧己经烧断，造成了电枢电流不平衡，使电动机输出转矩不平衡。另外，发现电动机的轴承亦有损坏，故而引起Y轴的振动与过电流。
更换电动机轴承与电刷后，机床恢复正常。"
"故障现象：某采用FANUCOT数控系统的数控车床，开机后，只要Z轴一移动，就出现剧烈振荡，CNC无报警，机床无法正常工作。
","分析及处理过程：经仔细观察、检查，发现该机床的Z轴在小范围（约2.5mm以内）移动时，工作正常，运动平稳无振动；但一旦超过以上荒围，机床即发生激烈振动。
根据这一现象分析，系统的位置控制部分以及伺服驱动器本身应无故障。初步判定故障在位置检测器件，即脉冲编码器上。
考虑到机床为半闭环结构，维修时通过更换电动机进行了确认，判定故障原因是由于脉冲编码器的不良引起的。
为了深入了解引起故障的根本原因，维修时作了以下分析与试验：
1）在伺服驱动器主回路断电的情况下，手动转动电动机轴，检查系统显示，发现无论电动机正转、反转，系统显示器上部能够正确显示实际位置值，表明位置编码器的A、B、“A、*B信号输出正确。
2）由于本机床Z轴丝杠螺距为5mm，只要Z轴移动2mm左右即发生振动，因此，故障原因可能与电动机转子的实际位置有关，即脉冲编码器的转子位置检测信号C1、C2、C4、C8信号存在不良。
根据以上分析，考虑到Z轴可以正常移动2.5mm左右，相当于电动机实际转动
180°，因此，进一步判定故障的部位是转子位置检测信号中的C8存在不良。
按照上倒同样的方法，取下脉冲编码器后，根据编码器的连接要求（见表6–1），在引脚N/T、J/K上加入DC5V后，旋转编码器轴，利用万用表测量C1、C2、C4、C8，发现C8的状态无变化，确认了编码器的转子位置检测信号C8存在故障。

表6–1编码器引脚连接表

引脚ABCDEFGHJ/KLMN/TPRS
信号ABCI*A*BZ*Z屏蔽+5VC4C8OVC2OH1OH2
进一步检查发现，编码器内部的C8输出驱动集成电路己经损坏；更换集成电路后，重新安装编码器，并按上倒同样的方法调整转子角度后，机床恢复正常。"
"故障现象：一台配套FANUC11M的加工中心，开机时，CRT显示SV008号报警，Z轴发生周期性振动。
","分析及处理过程：FANUC11M系统出现SV008报警的含义是“坐标轴停止时的误差过大”，引起本报警的可能原因有：
1）系统位置控制参数设定错误。
2）伺服系统机械故障。
3）电源电压异常。
4）电动机和测速发电机、编码器等部件连接不良。
根据上达可能的原因，再结合Z轴作周期性振动的现象综合分析，并通过脱开电动机与丝杠的连接试验，初步判定故障原因在伺服驱动系统的电气部分。
为了进一步判别故障原因，维修时更换了X、Z轴的伺服电动机，进行试验，结果发现故障不变，由此判定故障原因不在伺服电动机。
由于X、Y、Z伺服驱动器的控制板规格一致，在更改设定、短接端后，更换控制板试验，证明故障原因在驱动器的控制板上。
更换驱动器控制板后，故障排除，机床恢复正常。例234.运动过程中出现振动的故障维修
"
"故障现象：一台配套FANUC15MA数控系统的龙门加工中心，在起动完成、进入可操作状态后，X轴只要一运动即出现高频振荡，电动机产生尖叫，系统无任何报警。
","分析及处理过程：在故障出现后，观察X轴拖板，发现实际拖板振动位移很小；但触摸电动机输出轴，可感觉到转子在以很小的幅度、极高的频率振动；且振动的噪声就来自X轴伺服电动机。
考虑到振动无论是在运动中还是静止时均发生，与运动速度无关，故基本上可以排除测速发电机、位置反馈编码器等硬件损坏的可能性。
分析可能的原因是CNC中与伺服驱动有关的参数设定、调整不当引起的；且由于机床振动频率很高，因此时间常数较小的电流环引起振动的可能性较大。
由于FANUC15MA数控系统采用的是数字伺服，伺服参数的调整可以直接通过系统进行，维修时调出伺服调整参数页面，并与机床随机资料中提供的参数表对照，发现参数PIOM1852、PRM1825与提供值不符，设定值见下：
参数号正常值实际设定值
185210003414
182520002770
将上达参数重新修改后，振动现象消失，机床恢复正常运行。例236.驱动器无准备好信号的故障维修
"
"故障现象：某配套FANUCOi系统、ai系列伺服驱动的立式数控铣床，在自动加工过程中突然出现ALM414、ALM4ll报警。
","分析及处理过程：FANUCOi系统发生ALM411报警的含义是“移动过程中位置遍差过大”；ALM414的含义是“数字伺服报警（Z–AxisDETECTIONSYSTEMEIUIOR）”。
检查Z驱动器显示“8”，表明Z轴IPM报警，可能的原因是Z轴过电流、过热或IPM控制电压过低。利用系统诊断参数DGN200检查发现DGN00bit“51”，表明Z轴驱动器出现过电流报警。
根据以上读断、检查，可以初步确认故障原因为Z轴过电流。考虑到机床的伺服进给系统为半闭环结构，维修时脱开了电动机与丝杠间的联轴器，手动转动丝杠，发现该轴运动十分困难，由此确认故障原因在机械部分。
进一步检查机床机械部分，发现Z导轨表面无润滑油，检查机床润滑系统的定量分油器，确认定量分油器不良。更换定量分油器后，通过手动润滑较长时间，保证Z导轨润滑良好后，再次开机试验，报警消失，机床恢复正常工作。"
"故障现象：某配套FANNCOT的数控车床，用户在加工过程中，发现X、Z轴的实际移动尺寸与理论值不符。
","分析及处理过程：由于本机床X、Z轴工作正常，故障仅是移动的实际值与理论值不符，因此可以判定机床系统、驱动器等部件均无故障，引起问题的原因在于机械传动系统参数与控制系统的参数匹配不当。
机械传动系统与控制系统匹配的参数在不同的系统中有所不同，通常有电子齿轮比、指令倍乘系数、检测倍乘系数、编码器脉冲数、丝杠螺距等。以上参数必须统一设定，才能保证系统的指令值与实际移动值相符。
在本机床中，通过检查系统设定参数发现，X、Z轴伺服电动机的编码器脉冲数与系统设定不一致。在机床上，X、Z轴的电动机的型号相同，但内装式编码器分别为每转2000脉冲与2500脉冲，而系统的设定值正好与此相反。
据了解，故障原因是用户在进行机床大修时，曾经拆下X、Z轴伺服电动机进行清理，但安装时未注意到编码器的区别，从而引起了以上问题。对X、Z电动机进行交换后，机床恢复正常工作。"
"故障现象：一台配套FANUCOTD系统aC伺服驱动的二手数控车床，开机后系统显示ALM401、ALM416报警。
","分析及处理过程：FANUCOTD系统出现ALM401报警的含义同前述，ALM416报警的含义是“位置测量系统连接不良”。
检查系统的诊断参数，DGN202bit4
l，证明故障原因是电动机内装式串行脉冲编码器断线。
根据报警提示，检查X、Z轴编码器连接电缆，发现X轴位置编码器连接电缆存在部分断线。
重新连接，更换编码器电缆后，报警排除，机床X、Z轴恢复正常工作。例253.FANUC11系统发生SV023报警的维修
"
"故障现象：一台配套FANUC15MA数控系统的龙门加工中心，在正常加工过程中，系统偶尔出现SV013报警。
","分析及处理过程：FANUC15MA系统出现SV013报警的含义是“Y轴伺服驱动器的V–READY信号断开（YAXISIMPROPERV–READYOFF）”。检查伺服驱动器，发现Y轴伺服驱动上的VRDY发光二极管不亮。
由于FANUC交流伺服驱动的VRDY信号是在伺服驱动器的主接触器MCC吸合、伺服驱动器主回路接通后，如驱动器工作正常（即驱动器无过电流、过电压、过热、测速反馈等报警），MCC就保持吸合，信号VRDY为“1”。

本故障的实质是主接触器MCC未能正常吸合、保持或触点接触不良，根据本章前述，其可能的原因有：
1）伺服驱动器故障。
2）驱动器主回路过电流。
3）CNC与伺服单元之间的电缆连接不良。
仔细检查Y轴伺服驱动器，发现驱动器除VRDY发光二极管不亮外，无其他的报警灯亮，由此可初步排除驱动器主回路过电流的原因。检查CNC和伺服驱动器间的连接电缆，未发现连接问题。
为了进一步判定故障原因，维修时将Y轴和Z轴伺服驱动器的控制板进行了交换，但故障仍然存在，排除了驱动器控制板不良的原因。接着，又交换了Y轴和Z轴伺服驱动器的功放板，交换后故障从Y轴移到了Z轴，由此判定故障原因在Y轴伺服驱动器的功放板。
对照FANUC交流伺服主回路进行详细检查，确认主回路的电气元器件均无故障，由此推断产生故障的原因可能是MCC接触器本身的不良。为了确认，维修时通过外部电源直接给MCC接触器线圈加110V交流控制电压，经试验发现MCC存在自动断开现象，说明MCC接触器线圈存在故障。
更换接触器后，机床恢复正常。"
"故障现象：一台配套SIEMENS8MC的卧式加工中心，在电网突然断电后开机，系统

无法起动。
","分析及处理过程：经检查，该机床X轴伺服驱动器的进线快速熔断器已经熔断。该机床的进给系统采用的是SIEMENS6RA系列直流伺服驱动，对照驱动器检查伺服电动机和驱动装置，未发现任何元器件损坏和短路现象。
检查机床机械部分工作亦正常，直接更换熔断器后，起动机床，恢复正常工作。分析原因是由于电网突然断电引起的偶发性故障。"
"故障现象：某配套SIEMENSPRIMOS系统、6RA26**系列直流伺服驱动系统的数控滚齿机，开机后移动机床的Z轴，系统发生“ERR22跟随误差超差”报警。
","分析及处理过程：数控机床发生跟随误差超过报警，其实质是实际机床不能到达指令的位置。引起这一故障的原因通常是伺服系统故障或机床机械传动系统的故障。
由于机床伺服进给系统为全闭环结构，无法通过脱开电动机与机械部分的连接进行试验。为了确认故障部位，维修时首先在机床断电、松开夹紧机构的情况下，手动转动Z轴丝杠，未发现机械传动系统的异常，初步判定故障是由伺服系统或数控装置不良引起的。
为了进一步确定故障部位，维修时在系统接通的情况下，利用手轮少量移动Z轴

（移动距离应控制在系统设定的最大允许跟随误差以内，防止出现跟随误差报警），测量Z轴直流驱动器的速度给定电压，经检查发现速度给定有电压输入，其值大小与手轮移动的距离、方向有关。由此可以确认数控装置工作正常，故障是由于伺服驱动器的不良引起的。
检查驱动器发现，驱动器本身状态指示灯无报警，基本上可以排除驱动器主回路的故障。考虑到该机床X、Z轴驱动器型号相同，通过逐一交换驱动器的控制板确认故障部位在6RA26**直流驱动器的A2板。
根据SIEMENS6RA26**系列直流伺服驱动器的原理图，逐一检查、测量各级信号，最后确认故障原因是由于A2板上的集成电压比较器N7（型号：LM348）不良引起的；更换后，机床恢复正常。"
