questions	rewrite1	rewrite2	rewrite3	ture_answers
"故障现象：某配套FANUCOM的数控铣床，在加工过程中，车间突然断电，烧电后开机，系统电源无法正常接通。
"	一台配备FANUCOM的数控铣床在加工过程中，车间突然停电。通电后，系统电源无法正常开启。	一台配备FANUCOM的数控铣床在加工过程中，由于车间突然断电，随后重新供电后，系统电源无法正常启动。	一台配套FANUCOM的数控铣床在加工过程中，由于车间突然断电，随后重新供电后，系统电源无法正常开启。	"分析及处理过程分析过程同前例，经检查，图4–5中的熔断器F11、F12己爆数膻测量，R、S间无短路，证明浪涌电压吸收器VS11以及辅助电源控制模块M11无故意障。拔下了电源模块的插头CP2测量，在本例中短路现象未消失，则确认AC用摄到回
四在电源单元内部。
进一步检查发现，二极管整流桥DS11短路，由于当时无FANUC备件DS11，为了保证机床的正常生产，维修时直接利用了同规格的二极管整流桥进行取代，经过重新安装，并更换F11、F12后，机床故障排除。"
"故障现象：某配套FANUCOMC的数控铣床，在加工过程中突然断电，重新开机，系统电源无法正常接通。
"	一台配装有FANUCOMC的数控铣床在加工过程中突发断电，当尝试重新开机时，系统电源无法正常启动。	一台配有FANUCOMC的数控铣床在加工时突然停电。当试图重新启动系统时，电源无法正常开启。	一台配有FANUCOMC的数控铣床在加工时突然停电。当尝试重新启动系统时，电源无法正常开启。	"分析及处理过程分析过程同前，经检查，图4–5中的熔断器F11、F12已熔断；换上俯断器F11、F12，再次测量电源进线R、S，发现线路中存在短路；但浪涌电压吸收器VS11正常。
测量开关电源次级回路无故障，显然，短路原因在内部输入单元的集成开关电源控制模块M11上。直接更换FANUC备件后，机床故障排除。"
"故障现象：某配套FANUCOT的数控车床，正常关机后，开机出现系统电源无法起动的故障。
"	在一台配有FANUCOT的数控车床上，出现了在正常关机后，系统电源无法启动的故障现象。	在一台配备了FANUCOT的数控车床上，出现了在正常关机后，系统电源无法启动的故障。	在一台装有FANUCOT数控系统的车床上，出现了在正常关机后，系统电源无法启动的故障现象。	"分析及处理过程经检查，该机床电源单元的发光二极管PIL与ALM灯同时亮。由原理图4–6可知，PIL指示灯亮，证明内部输入单元的辅助DC24V正常，引起故障的原因是来自系统内部的24V/±15V/5V电源模块报警或外部报警信号E.ALM接通，使继电器RY1吸合，引起RY2~4的互锁而无法吸合。
进一步检查发现，故障原因来自外部报警信号E.ALM接通。根据机床电气原理图，逐一检查外部报警信号E.ALM的接通条件，最终确认故障是由于液压电动机过载引起的，排除液压电动机故障后，机床恢复正常。"
"故障现象：某配套FANUCOT的数控车床（工手设备），初次开机时，系统电源无法正常接通。
"	当第一次开启配备FANUCOT的数控车床（工手设备）时，系统电源无法正常开启。	当首次开启配备有FANUCOT的数控车床系统（工手设备）时，无法正常接通电源。	当一台配备有FANUCOT的数控车床（工手设备）首次启动时，系统电源无法正常开启。	"分析及处理过程经检查，该机床电源单元的发光二极管PIL不亮，电源单元的熔断器F1己熔断。

由于机床为二手设备，故又对照原理图4–5，逐一测量电源模块内部线路与各相关元器件C2、D1、Q1等，在确认无误后，通电测量输入单元的辅助控制电源A24端子上的DC24V正常，F1的输出端与AO间无短路，初步判定电源单元无故障。
更换FANUC备件F1后，故障排除，电源正常接通。例19.ON/OFF信号不良引起的故障维修
"
"故障现象：某配套FANUCOT–Mate–E的数控车床，开机时，系统电源无法正常接
通。
"	当开启某配备FANUCOT–Mate–E的数控车床时，系统电源无法正常启动。	一台配备FANUCOT-Mate-E的数控车床在启动时，系统电源无法正常开启。	在一台配备有FANUCOT-Mate-E的数控车床上，当启动时，系统电源无法正常接通。	"分析及处理过程经检查发现输入单元的发光二极管PIL灯亮，但按下系统电源起
动按钮，伺服主回路未接通。测量发现图中MDI/CRT单元上的电源切断OFF与COM间断开，但操作面板上的CNCOFF按钮动作正常。
由于维修现场无机床电气原理图，只能根据实际机床接线检查。检查发现，该机床电源单元的COM（CP3–3）与OFF（CP3–2）间通过了辅助线路进行连接，COM与EOF间串联了面板上的CNCOFF按钮常闭触点、电柜门开关触点、主轴传动系统防护门开关等多个接通条件。
逐一检查以上条件，在确认全部条件都满足，COM与EOF间触点闭合后，重新起动，机床恢复正常。
维修体会与维修要点：
1）FANUC电源单元AI由于体积小、可靠性高，在0系列系统中使用较广。在该单元的电源不能接通的故障维修中，通过测绘内部输入单元的电气原理图，再对照原理图进行维修是最有效、最可靠的方法。
2）由于电源单元AI体积小、控制电压种类较多，在进行测量维修处理，特别是更换元器件时，必须十分谨慎；以防止损坏其他控制元器件。
3）除以上实例中的常见"
"故障现象：某配套YASKA+J50L的数控车床，开机时系统电源与伺服驱动电源均无法正常接通。
"	在一台配备了YASKA+J50L的数控车床上，当开机时，系统电源和伺服驱动电源都无法正常启动。	在一台配备了YASKA+J50L的数控车床上，当开机时，发现系统电源和伺服驱动电源都不能正常启动。	在一台配备YASKA+J50L的数控车床上，开机时发现系统电源和伺服驱动电源都无法正常开启。	"分析及处理过程经检查该机床的系统电源单元AC200V输入电压正常，但按系统操作面板上的ON/OFF按钮，无法接通系统电源。
根据上例同样的分析，可以初步判定故障原因在系统内部的ON/OFF控制回路。进一步检查发现，该机床操作面板上的NCOFF按钮连接插头脱落，重新连接后，故障排除，系统电源正常起动。"
"故障现象：某配套YASKA+J50L的数控磨床，开机时系统电源接通，但伺服驱动主电源无法正常接通。
"	在一台配备了YASKA+J50L的数控磨床上，当开机时，虽然系统电源被接通，但是伺服驱动主电源无法正常启动。	在一台配备YASKA+J50L的数控磨床上，当开机时，系统电源可以接通，但是伺服驱动主电源无法正常接通。	在一台配备了YASKA+J50L的数控磨床上，当开机时，系统电源可以接通，但是伺服驱动主电源无法正常接通。	"分析及处理过程经检查，该机床的系统电源单元AC200V输入电压正常，但按系统操作面板上的ON/OFF按钮，无法接通系统电源。
对照机床电气原理图，发现该机床的电源ON/OFF线路设计较完善，经简化后的
CNC电源控制回路如图4–8、图4–9所示。图中各元器件的作用如下：
1）SQ1–1、SQ1–2为机床工作台超程限位开关。
2）QF1、QF2、QF3分别为机床的伺服上回路、液压电动机、主轴系统过载保护开关。
3）SA1为机床工作台超程限位取消开关。
4）KM4为伺服主回路接触器。

由图可见，该机床同时使用了内部/外部电源ON/OFF控制，而且通过时间继电器KT1的延时动作，自动实现了系统原来所需要的二次按CNCON的动作。根据原理图可知，其电源接通动作步骤如下：
1）在图4–8中，按下操作面板的内部CNCON按钮，系统电源单元的输出信号NC-MX使中间继电器KA10接通。
2）在图4–9中，KA10触点使时间继电器KT1接通，并进行延时。
3）KT1的延时时间到，延时触点接通，使得中间继电器KA1接通。
4）KA1常开触点又接通了图4–8中的电源单元的外部CNCON信号TON。

5）由于电源单元的外部CNCON被接通，相当于系统加入了第二次CNCON信号，从而使得系统电源单元的输出信号SVMX接通KA11。
6）KA11的常闭触点断开图4–9中的中间继电器KA1，电源单元的外部CNCON信号被TON断开，使图4–8中与TON连接的常开触点KA1实际上起到了按钮的作用。
7）在图4–9中，KA11的常开触点同时接通接触器KM4，伺服驱动器主回路接通。
8）接触器KM4的常闭触点断开时间继电器KT，完成电源加入动作。
9）在机床工作台超程时，在图4–9中，KA12失电，通过KA12的常开触点，使图4–
8中的急停输入信号*TESP、外部电源OFF信号TOFF同时断开，切断系统电源与伺服回路电源输入。
从以上分析可知，本机床在按下系统操作面板CNCON按钮后，系统电源正常加入，但伺服主回路未得电，因此故障原因在第二次加入CNCON信号回路上。为了验证，维修时在系统接通后，若再次按下系统操作面板CNCON按钮，伺服主回路被接通，由此确认，机床故障原因在第二次加入CNCON信号控制回路上。
进一步检查发现，该机床的时间继电器损坏，更换时间继电器后，机床恢复正常。例24.外部互锁引起的故障维修
"
"故障现象：机床同上例，该机床在X轴执行回参考点的过程中，突然出现系统断电，再次起动后系统电源无法正常接通。
"	该机床在X轴执行回参考点的过程中，出现了系统断电的故障现象，再次启动后，系统电源无法正常接通。	该机床在X轴执行回参考点的操作时，出现了系统突然断电的情况。当再次启动机床后，发现系统电源无法正常接通，与上例机床情况相同。	该机床在X轴执行回参考点时，出现了系统突然断电的情况。当系统再次启动后，无法正常接通电源。	"分析及处理过程故障分析过程同上，在本例中，经检查确认，电源无法接通的原因是由于工作台的“超程”引起的KA12断开。
合上图4–9中的“超程解除”开关SA1，机床恢复正常起动，退出“超程保护”后检查，发现故障原因是由于“参考点减速”挡铁安装存在松动，使参考点位置发生了偏移，导致了机床“超程”。重新固定挡铁后，机床恢复正常。
4.SIEMENS系统电源不能接通故障维修5例"
"故障现象：一台配套SIEMENS3M系统的进口卧式加工中心，开机时出现CNC电源无法接通的故障。
"	当开启一台配备了SIEMENS3M系统的进口卧式加工中心时，出现CNC电源无法接通的故障现象。	在一台配备了SIEMENS3M系统的进口卧式加工中心中，开机时遇到了CNC电源无法接通的故障现象。	在一台配备了SIEMENS3M系统的进口卧式加工中心中，开机时遇到了CNC电源无法接通的问题。	"分析及处理过程SIEMENS3M系统的外部电源控制要求十分简单，只要CNC的+24V电源输入正常，NC–ON触点短时间接通，在正常情况下即可以起动系统。
测量系统电源模块（6EV3054–3500）的外部电源输入端C1、D1间DC24V正常，但电源模块上的DCSV为0，表明故障是由电源模块引起的。
通过直接短接电源模块上的NC–ON触点（G、H脚）试验，发现系统电源仍然无法接通电源，由此确认故障与外部起动条件无关。
进一步测量检查，发现电源模块上的E、F脚开路，分析原因与内部风机监控有关，直接短接E、F脚试验，系统即可起动。更换风机后，机床恢复正常。"
"故障现象：一台配套SIEMENS8M系统的进口卧式加工中心，开机时出现CNC电源无法接通的故障。
"	在一台配备了SIEMENS8M系统的进口卧式加工中心中，开机时遇到了CNC电源无法接通的故障现象。	在一台配备了SIEMENS8M系统的进口卧式加工中心中，开机时遇到了CNC电源无法接通的故障现象。	在一台配备了SIEMENS8M系统的进口卧式加工中心中，开机时遇到了CNC电源无法接通的故障现象。	"分析及处理过程检查系统各组成模块的状态指示灯，发现PLC停止灯亮，表明
PLC未工作，PLC的全部输出为“0”；检查后确认，故障与外部起动条件无关。
取下PLC模块（6ES5925–3KA11）检查，发现该模块上的一片集成电路（74LS244）不良，更换后机床恢复正常。"
"故障现象：一台配套SIEMENS880M系统的立式加工中心，开机时出现CNC电源无法接通的故障。
"	一台配备了SIEMENS880M系统的立式加工中心在开机时出现了CNC电源无法接通的问题。	在一台配备了SIEMENS880M系统的立式加工中心中，开机时遇到了CNC电源无法接通的故障现象。	一台配备了SIEMENS880M系统的立式加工中心在开机时出现了CNC电源无法接通的故障现象。	"分析及处理过程检查系统电源模块的5V指示灯不亮，测量系统电源模块的外部电源输入端DC24V正常；NC的全部起动条件均满足；风机监控正常；确认故障与外部起动条件无关。
电源模块故障与电源模块本身不良或CNC不良有关，为了确认故障部位，维修时将电源模块从系统中拔出后，再次进行进一步试验。试验表明，此时电源模块即可以正常起动，从而确认故障在CNC内部。
通过逐一取下CNC各组成模块，进行多次试验，最终确认故障是由于其中的一块位置测量模块不良引起的5V过载。对测量模块进行维修后，系统即可起动。"
"故障现象：一台配套SIEMENS810M系统的卧式加工中心，开机时出现CNC电源无法接通的故障。

"	在一台配备了SIEMENS810M系统的卧式加工中心中，开机时发生了CNC电源无法接通的故障。	在一台配备了SIEMENS810M系统的卧式加工中心中，开机时发生了CNC电源无法接通的故障现象。	在一台配备了SIEMENS810M系统的卧式加工中心中，开机时遇到了CNC电源无法接通的故障现象。	"分析及处理过程SIEMENS8l0M系统的外部电源控制要求十分简单，只要CNC的+24V电源输入正常，只需短接CNC电源模块上的NC–ON端，即可以起动系统。
维修时通过短接CNC电源模块上的NC–ON端试验，发现系统可正常接通电源，由此确认故障是由于系统电源接通（NC–ON）回路故障引起的。
进一步检查发现，该机床数控系统的外部条件未满足，根据机床电气原理图，逐一检查，在满足系统起动条件后，重新起动CNC，系统正常起动。"
"故障现象：一台配套SIEMENS840C的进口立式加工中心，开机时出现系统电源无法接通的故障。
"	在一台配备了SIEMENS840C的进口立式加工中心中，开机时发生了系统电源无法接通的故障现象。	在一台配有SIEMENS840C的进口立式加工中心中，开机时发生了系统电源无法接通的故障。	开机时，一台配有SIEMENS840C的进口立式加工中心出现系统电源无法接通的故障。	"分析及处理过程根据该机床的特点，在正常情况下，只要一合上主开关，CNC即可接通，检查机床电气原理图发现系统电源与机床主电源间只有断路器保护环节。
检查断路器未跳闸，但上、下端均无AC220V电源，进一步检查发现，该机床三相进线电源中1L3缺相，原因是车间配电柜内的熔断器熔断。在测量确认线路无故障后，换上熔断器，再次开机，机床恢复正常工作。
维修体会与维修要点：
1）数控机床由于采用的控制系统品种较多，电源接通、断开的控制要求各不相同，对于不同的机床、不同的系统，维修时应根据机床与系统的实际情况，分别进行处理。
2）机床维修者必须熟悉各种系统的电源通/断控制要求，维修时做到心中有数。
3）对于控制较复杂的机床，不仅要掌握系统的电源ON/OFF要求，而且还必须对照机床电气原理图进行维修处理，若非万不得已，不宜改变机床的原操作方式与原设计功能。
4）维修数控机床应是多方位的，既要掌握系统生产厂家推荐的线路与控制方法，还必须根据机床、系统的实际情况灵活处理，不可教条。
4.1.2电源模块（单元）故障维修20例

1.FANUC电源模块故障维修10例例31.浪涌吸收器引起的故障维修
"
"故障现象：某配套FANUC6M的立式加工中心，由工厂自发电供电，工件加工过程中，系统突然断电，显示消失，机床停机后无法重新起动机床。
"	一台配有FANUC6M的立式加工中心在工厂自发电供电的情况下，正在加工工件时，系统突然停电，显示消失，导致机床停机并且无法重新启动。	在一家使用FANUC6M立式加工中心的工厂中，当工件正在加工时，系统突然断电，显示消失，导致机床无法重新启动。	在一家采用FANUC6M立式加工中心的工厂中，加工工件时，系统突然断电，显示屏消失，导致机床停机后无法重新启动。	"分析及处理过程经检查，该机床电源输入单元的电源指示（PIL）与报警（ALM）灯同时亮，表明电源模块存在故障。检查输入熔断器F11熔断，换上熔断器后测量，发现电源输入存在短路现象。
故障分析过程同上例，对照原理图检查发现VS11短路，DS11整流桥损坏，更换后机床恢复正常。"
"故障现象：某配套FANUC6M的立式加工中心，在加工过程中，车间突然断电，恢复供电后，无法重新起动机床。
"	某配有FANUC6M的立式加工中心在运行时，工厂遭遇停电。当电力恢复后，机床无法重新启动。	一台配有FANUC6M的立式加工中心在加工时，车间突然停电。当电力恢复后，机床无法重新启动。	一台配有FANUC6M的立式加工中心在加工时，车间突然停电。当电力恢复后，机床无法重新启动。	"分析及处理过程经检查，该机床电源输入单元的电源指示（PIL）与报警（ALM）灯同

时亮，表明电源模块存在故障。检查电源模块输入熔断器F11、F12熔断，测量电源输入存在短路。
故障分析过程同例31，对照原理图检查各元器件，确认VS11、NF11、DS11均正常，因此判定故障发生在开关电源的一次侧驱动部分。
断开SH11后，测量驱动输出Q14、Q15、D24、D25，发现Q14的CE极短路，更换Q14
（2SC3046）后，短路消失，开机后机床恢复正常。例34.续流二极管不良引起的故障维修
"
"故障现象：某配套FANUC6M的立式加工中心，在加工过程中，机床突然断电，再次开机，无法重新起动机床。
"	在一台装有FANUC6M的立式加工中心进行加工时，机器突然停电。当再次打开电源时，机床无法重新启动。	在一台装有FANUC6M的立式加工中心的操作过程中，出现了突然的电源中断。当尝试重新开启机床时，无法使其重新启动。	在一台配备FANUC6M的立式加工中心进行加工时，机器突然停电。当再次打开电源时，机床无法重新启动。	"分析及处理过程经检查，该机床电源输入单元的电源指示（PIL）与报警（ALM）灯同时亮，表明电源模块存在故障。检查电源模块输入熔断器F11、F12正常。对照原理图检查各元器件，发现VS11、NF11、DS11、Q14、Q15、D24、D25均正常，电源模块一次侧无短路，判定故障发生在开关电源的二次侧。
为了迅速判断故障部位，维修时依次取下短接设定端S1、S2、S4、S5，当取下S5后，故障消失，由此判定故障发生在DC24V电源回路。
进一步检查发现，线路中的DC24V电流检测电阻R26不良，引起了24V过电流保护回路动作。更换R26后，机床恢复正常。
维修体会与维修要点：
1）根据个人的维修经验，在FANUC系统中，电源单元故障的原因多发生在电网供电不良的地区。由于加工过程中的外部突然断电或在工厂自发电供电的情况下工作，是引起电源单元故障的主要原因。

2）在一般情况下，电源单元的故障以进线的浪涌吸收器（VS11）的故障居多。当VS11故障，但维修现场无器件时，为了保证机床的正常生产，通常的做法是暂时取消VS11，确保机床的使用，待备件到位后，再予以更换。
3）在电网电压波动大大（特别是自发电的场合），偶然也有整流桥、开关管、续流管损坏的情况。对于以上器件，在无备件时，一般可以直接利用其他同规格的整流桥、开关管、续流管进行替代。在安装尺寸不同时，有时也可以将整流桥安装到电源单元的外部。
4）FANUC不同的系统中，电源模块的型号有所不同，常见的电源单元有如下规格：
€FANUC10系统用电源单元：A16B–1210–0510；
""FANUC11系统用电源单元：A16B–1210–0560；
€FANUC12系统用电源单元：A20B–1000–0770；
$FANUC0系统用电源单元A：A16B–1211–0850；
%FANUC0系统用电源单元B：A16B–1212–0110；

&FANUC0系统用电源单元AI：A16B–1212–010（0

常用）。

以上电源单元的基本组成与工作原理与FANUC6系统相似，不再赘述，发生故障的情况办基本类似，为了便于维修人员参考，附录B中提供了以上常用电源单元的原理框图，可以供维修时参考。"
